position	numhm	numht
1000000	2	1038
2000000	0	2469
3000000	1	2462
4000000	0	4063
5000000	1	3567
6000000	0	3635
7000000	0	4515
8000000	1	4357
9000000	3	5160
10000000	4	3322
11000000	3	4516
12000000	4	6720
13000000	8	7048
14000000	6	8324
15000000	40	4201
16000000	72	6867
17000000	24	8985
18000000	3	5787
19000000	2	4771
20000000	1	5679
21000000	0	3396
22000000	5	7170
23000000	4	8776
24000000	3	8041
25000000	3	7385
26000000	2	4082
27000000	1	5197
28000000	0	3821
29000000	3	2121
30000000	2	3439
31000000	11	4876
32000000	10	6595
33000000	5	6656
34000000	14	7996
35000000	54	8493
36000000	8	9186
37000000	7	8583
38000000	9	6076
39000000	0	4435
40000000	2	4593
41000000	6	2984
42000000	7	1618
43000000	12	825
44000000	14	571
45000000	6	305
46000000	6	79
47000000	17	33
48000000	15	57
49000000	2	39
50000000	14	17
51000000	4	2670
52000000	0	3628
53000000	0	2804
54000000	2	2919
55000000	0	2379
56000000	2	3172
57000000	3	3255
58000000	0	3454
59000000	8	4719
60000000	7	7580
61000000	4	6117
62000000	10	8955
63000000	10	9265
64000000	131	7326
65000000	57	7636
66000000	15	9363
67000000	4	9381
68000000	3	6898
69000000	2	4108
70000000	0	2816
71000000	3	3653
72000000	1	1832
73000000	2	3018
74000000	0	3651
75000000	4	7090
76000000	15	8739
77000000	23	7564
78000000	59	7076
79000000	13	8163
80000000	11	6684
81000000	7	8894
82000000	6	7455
83000000	10	5772
84000000	10	6843
85000000	4	6373
86000000	2	4690
87000000	0	2832
88000000	0	2475
89000000	0	2741
90000000	0	2485
91000000	0	3112
92000000	0	3331
93000000	4	5124
94000000	1	4275
95000000	2	2939
96000000	2	2737
97000000	0	2115
98000000	1	4133
99000000	1	4818
100000000	2	5921
101000000	1	7245
102000000	1	6035
103000000	13	8616
104000000	38	7308
105000000	15	6501
106000000	18	6722
107000000	9	5634
108000000	3	8518
109000000	2	6818
110000000	10	9521
111000000	10	7646
112000000	6	7144
113000000	10	4000
114000000	0	4692
115000000	1	3992
116000000	0	2804
117000000	2	4376
118000000	2	3240
119000000	1	4282
120000000	10	673
