position	numhm	numht
500000	10	3779
1000000	1	3306
1500000	1	3094
2000000	0	1611
2500000	0	1960
3000000	1	2917
3500000	2	1653
4000000	5	1493
4500000	1	1373
5000000	6	787
5500000	2	655
6000000	7	287
6500000	4	390
7000000	9	228
7500000	5	191
8000000	3	133
8500000	2	118
9000000	6	55
9500000	6	11
10000000	10	27
10500000	4	9
11000000	6	35
11500000	6	16
12000000	1	35
12500000	5	15
13000000	7	3
13500000	7	272
14000000	0	1368
14500000	0	2144
15000000	0	1600
15500000	0	1614
16000000	0	1209
16500000	1	1513
17000000	1	1840
17500000	0	822
18000000	0	1283
18500000	0	1309
19000000	0	1711
19500000	3	1746
20000000	0	1805
20500000	2	840
21000000	0	2081
21500000	0	2143
22000000	8	2864
22500000	2	2491
23000000	5	3942
23500000	1	2702
24000000	3	3853
24500000	6	3247
25000000	4	4110
