iterations	fragment
genome_924	seq_id_5126
genome_698	seq_id_4963
genome_276	seq_id_5375
genome_969	seq_id_5092
genome_830	seq_id_5149
genome_231	seq_id_4901
genome_820	seq_id_4933
genome_981	seq_id_4910
genome_609	seq_id_5270
genome_947	seq_id_5156
genome_393	seq_id_5072
genome_559	seq_id_5201
genome_755	seq_id_5321
genome_877	seq_id_4971
genome_770	seq_id_5187
genome_526	seq_id_5289
genome_648	seq_id_5010
genome_752	seq_id_5204
genome_283	seq_id_5072
genome_794	seq_id_5156
genome_493	seq_id_5086
genome_929	seq_id_5131
genome_119	seq_id_5082
genome_625	seq_id_5151
genome_467	seq_id_4892
genome_455	seq_id_5272
genome_762	seq_id_4709
genome_446	seq_id_4823
genome_734	seq_id_4708
genome_377	seq_id_5031
genome_445	seq_id_5083
genome_855	seq_id_5325
genome_972	seq_id_4840
genome_665	seq_id_5367
genome_130	seq_id_5369
genome_856	seq_id_5191
genome_487	seq_id_5240
genome_41	seq_id_5139
genome_102	seq_id_5223
genome_50	seq_id_5225
genome_125	seq_id_5455
genome_268	seq_id_4903
genome_533	seq_id_4989
genome_154	seq_id_5227
genome_576	seq_id_5103
genome_206	seq_id_5246
genome_853	seq_id_5135
genome_439	seq_id_4971
genome_789	seq_id_5117
genome_114	seq_id_4935
genome_771	seq_id_4969
genome_421	seq_id_5247
genome_84	seq_id_4953
genome_417	seq_id_4763
genome_815	seq_id_5131
genome_27	seq_id_5191
genome_53	seq_id_4988
genome_294	seq_id_5191
genome_571	seq_id_4971
genome_586	seq_id_5165
genome_142	seq_id_5002
genome_803	seq_id_5188
genome_258	seq_id_5041
genome_989	seq_id_5098
genome_591	seq_id_5422
genome_309	seq_id_4971
genome_500	seq_id_5094
genome_86	seq_id_5072
genome_520	seq_id_5066
genome_314	seq_id_5167
genome_883	seq_id_5035
genome_127	seq_id_4869
genome_389	seq_id_4955
genome_261	seq_id_5217
genome_436	seq_id_5088
genome_704	seq_id_5120
genome_282	seq_id_5162
genome_556	seq_id_4984
genome_496	seq_id_5159
genome_310	seq_id_5389
genome_933	seq_id_5165
genome_992	seq_id_5010
genome_961	seq_id_5050
genome_506	seq_id_5013
genome_661	seq_id_4866
genome_893	seq_id_5133
genome_736	seq_id_5121
genome_242	seq_id_4881
genome_123	seq_id_5303
genome_739	seq_id_4852
genome_790	seq_id_5121
genome_722	seq_id_5081
genome_229	seq_id_5048
genome_643	seq_id_5007
genome_59	seq_id_5291
genome_772	seq_id_4685
genome_167	seq_id_5028
genome_246	seq_id_5264
genome_280	seq_id_5037
genome_6	seq_id_5267
genome_18	seq_id_5079
genome_164	seq_id_4929
genome_54	seq_id_5331
genome_28	seq_id_5226
genome_875	seq_id_5399
genome_561	seq_id_5184
genome_423	seq_id_5247
genome_401	seq_id_4997
genome_715	seq_id_4939
genome_278	seq_id_4968
genome_569	seq_id_5021
genome_303	seq_id_5287
genome_94	seq_id_5102
genome_629	seq_id_5089
genome_741	seq_id_5319
genome_338	seq_id_5112
genome_797	seq_id_5005
genome_726	seq_id_5358
genome_630	seq_id_4966
genome_932	seq_id_4765
genome_341	seq_id_4861
genome_287	seq_id_5256
genome_895	seq_id_5026
genome_331	seq_id_5014
genome_80	seq_id_4956
genome_807	seq_id_5079
genome_567	seq_id_4940
genome_461	seq_id_4937
genome_814	seq_id_4587
genome_494	seq_id_5109
genome_916	seq_id_5387
genome_69	seq_id_5386
genome_405	seq_id_5038
genome_387	seq_id_5090
genome_141	seq_id_5155
genome_184	seq_id_4931
genome_371	seq_id_5239
genome_623	seq_id_4958
genome_110	seq_id_5113
genome_302	seq_id_4947
genome_738	seq_id_5054
genome_801	seq_id_5092
genome_688	seq_id_5115
genome_269	seq_id_5396
genome_5	seq_id_5190
genome_748	seq_id_5083
genome_549	seq_id_5025
genome_588	seq_id_5039
genome_194	seq_id_5151
genome_973	seq_id_5071
genome_198	seq_id_4808
genome_574	seq_id_5076
genome_580	seq_id_5293
genome_998	seq_id_5040
genome_602	seq_id_5154
genome_663	seq_id_4763
genome_56	seq_id_5004
genome_937	seq_id_5048
genome_51	seq_id_5135
genome_761	seq_id_5128
genome_813	seq_id_5027
genome_459	seq_id_5019
genome_993	seq_id_4862
genome_380	seq_id_5022
genome_256	seq_id_5375
genome_621	seq_id_5177
genome_681	seq_id_5162
genome_682	seq_id_5257
genome_541	seq_id_4915
genome_701	seq_id_5359
genome_502	seq_id_5205
genome_118	seq_id_5185
genome_823	seq_id_5107
genome_730	seq_id_4909
genome_676	seq_id_4958
genome_391	seq_id_4946
genome_521	seq_id_5376
genome_678	seq_id_5209
genome_566	seq_id_4828
genome_454	seq_id_5280
genome_473	seq_id_5075
genome_695	seq_id_5083
genome_339	seq_id_5081
genome_21	seq_id_5119
genome_200	seq_id_5166
genome_552	seq_id_5141
genome_107	seq_id_5190
genome_778	seq_id_5161
genome_220	seq_id_5158
genome_168	seq_id_5249
genome_381	seq_id_5148
genome_666	seq_id_5067
genome_550	seq_id_5432
genome_900	seq_id_5075
genome_79	seq_id_5145
genome_218	seq_id_5185
genome_903	seq_id_5142
genome_495	seq_id_5142
genome_633	seq_id_4877
genome_572	seq_id_5070
genome_165	seq_id_5191
genome_732	seq_id_5110
genome_106	seq_id_5104
genome_272	seq_id_4921
genome_579	seq_id_5140
genome_152	seq_id_4982
genome_57	seq_id_5110
genome_208	seq_id_5309
genome_129	seq_id_5044
genome_254	seq_id_5246
genome_650	seq_id_4902
genome_379	seq_id_5215
genome_958	seq_id_5032
genome_178	seq_id_4930
genome_713	seq_id_5370
genome_197	seq_id_5469
genome_874	seq_id_4786
genome_304	seq_id_5128
genome_982	seq_id_5020
genome_911	seq_id_5079
genome_456	seq_id_5002
genome_196	seq_id_4920
genome_463	seq_id_5104
genome_540	seq_id_4899
genome_882	seq_id_5125
genome_233	seq_id_5144
genome_923	seq_id_4906
genome_23	seq_id_5063
genome_237	seq_id_5302
genome_782	seq_id_4971
genome_209	seq_id_5006
genome_136	seq_id_5552
genome_85	seq_id_4938
genome_984	seq_id_5032
genome_96	seq_id_5022
genome_534	seq_id_5289
genome_555	seq_id_4932
genome_530	seq_id_5265
genome_211	seq_id_5117
genome_531	seq_id_5188
genome_100	seq_id_5367
genome_538	seq_id_5103
genome_690	seq_id_5008
genome_264	seq_id_5238
genome_131	seq_id_5345
genome_203	seq_id_4963
genome_188	seq_id_5118
genome_806	seq_id_4863
genome_288	seq_id_4990
genome_175	seq_id_5106
genome_724	seq_id_4888
genome_363	seq_id_4958
genome_590	seq_id_5139
genome_394	seq_id_5218
genome_879	seq_id_5405
genome_453	seq_id_5229
genome_121	seq_id_5201
genome_485	seq_id_4808
genome_157	seq_id_5249
