"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
11825	624	32	9460494.01325067
11950	635	31	10393403.7461625
12023	623	34	10082129.1629506
11912	620	31	9588712.34766559
11584	633	36	11996453.9906614
12254	618	34	9477044.62541362
11764	622	32	8730412.06038508
11944	632	29	9739701.13222777
12287	619	30	10633617.7148002
11451	597	35	10949821.0759299
11971	633	36	10748515.9289008
12089	630	31	9191345.04027928
12217	664	33	10343871.168909
11415	618	32	10136162.3262036
12094	638	35	9701675.61068007
11827	592	33	10567836.0673203
11530	605	36	9672893.7981312
11765	630	35	12212460.4290744
11504	619	33	9595021.03759523
11794	612	37	10343845.7059287
11639	606	29	9388165.71807901
11749	634	33	11678482.9433561
11867	610	29	10160941.2131773
11619	631	31	10503722.9113394
11661	641	29	9039375.55672543
11994	638	37	9731336.55040338
11782	619	37	9141065.31197329
11942	667	33	10438704.9657584
12199	631	33	10027908.1479927
11752	654	38	10246275.4655634
11841	606	37	12511102.7538267
11539	613	36	9817843.22136885
11586	626	33	9637334.15272269
11870	580	29	9620223.81391071
11733	597	31	9991693.7545342
11863	631	30	9877504.56790101
11902	631	39	10903740.8871494
11973	617	31	9186114.83629167
11547	631	35	11474949.2520472
11603	604	37	9814839.77582419
12269	630	32	9338488.5920977
12015	643	34	10546457.3594975
12559	628	34	8362080.85377617
11714	619	32	9646545.57865371
12040	598	37	8709212.94539625
12294	606	30	10711831.8001491
11993	619	33	11869639.2285847
12402	645	37	8568975.41672757
11812	621	30	10416924.4530004
11652	589	35	9110702.07235555
11536	663	34	10403713.2964768
11919	659	33	9301877.45478202
11727	652	37	10532824.9110161
11719	589	31	9729463.49581041
12010	615	36	9842728.6096871
11837	625	28	9978726.50027664
12121	608	31	10791081.6246588
11889	609	32	9057566.95265264
11649	578	26	9909298.35417988
11857	621	30	10245595.2776558
11555	607	34	10364070.2294987
12267	623	33	10545562.1476443
12065	622	30	9535198.09745144
11698	630	34	10871997.3242027
11894	626	33	11814377.7624649
11949	616	34	10714103.5763406
11946	633	36	10000915.5688776
11957	640	32	9943382.22681289
11870	672	33	10299944.7448995
11876	669	37	11081687.4448147
11991	647	33	9441887.19446589
12131	627	32	11540698.1800919
11943	634	32	8232635.37484087
11525	608	33	11096352.3861093
11980	590	30	9100143.3442119
12199	629	35	9878709.05404457
11787	649	34	10495812.4442057
11928	633	37	11350357.4111956
