"iteration"	"intercept"	"first"	"second"	"third"	"fourth"
"genome_1"	1331664.95596167	-0.0654440174346327	1.20505133418133e-09	-9.8534298325747e-18	3.01877817453449e-26
"genome_10"	1679575.58222789	-0.0821894519739086	1.50693669261425e-09	-1.2269341782822e-17	3.74291101675187e-26
"genome_100"	1132706.81643259	-0.0554988236362885	1.01869776016175e-09	-8.30208072382728e-18	2.53468373318488e-26
"genome_101"	1162412.73102894	-0.0568994349321366	1.04332850453539e-09	-8.49343524099035e-18	2.59005563704535e-26
"genome_102"	1435411.54506707	-0.0705663459746797	1.29975603067495e-09	-1.06305266316516e-17	3.25755802849825e-26
"genome_103"	1434984.75894566	-0.0703153756501299	1.29085380188419e-09	-1.05223546137225e-17	3.21346392348551e-26
"genome_104"	1351610.8492475	-0.066330500825705	1.21958995054782e-09	-9.9572506593756e-18	3.04583379615096e-26
"genome_105"	1131132.88379443	-0.0554238645957797	1.01732089602372e-09	-8.29051142070956e-18	2.53093869991707e-26
"genome_106"	1455816.27420711	-0.0715360495797638	1.31698665096739e-09	-1.07661736517795e-17	3.29746733130838e-26
"genome_107"	866949.353090883	-0.0425045128105451	7.80555840769657e-10	-6.36332122216416e-18	1.94307283552992e-26
"genome_108"	1278072.7497813	-0.0625579081869315	1.1472231303238e-09	-9.34195848623341e-18	2.85015013204938e-26
"genome_109"	1106267.13517713	-0.0541629584090407	9.93379074065372e-10	-8.08875639533162e-18	2.46727200464733e-26
"genome_11"	1336117.55009772	-0.065475164697431	1.20208014676237e-09	-9.79942030435728e-18	2.99290488324396e-26
"genome_110"	1091791.12036733	-0.0535978389731096	9.85539658385459e-10	-8.04466613717285e-18	2.45961813165344e-26
"genome_111"	1239424.00402215	-0.0608182832357904	1.11805521042425e-09	-9.12625830085745e-18	2.79086283678368e-26
"genome_112"	1659356.11538716	-0.0815636412522612	1.50211183628133e-09	-1.22840848808691e-17	3.76386687022665e-26
"genome_113"	1445812.00839219	-0.0709322140796835	1.30387922526967e-09	-1.06433688190397e-17	3.25524982778012e-26
"genome_114"	1196814.42296628	-0.0586407181456418	1.07635878051627e-09	-8.77171529605388e-18	2.67791367701152e-26
"genome_115"	1194205.07893544	-0.0583387533407629	1.06766335609503e-09	-8.67550035185701e-18	2.64090162752121e-26
"genome_116"	1577155.7104736	-0.0773795943445898	1.42235625055977e-09	-1.16092973442834e-17	3.55005150690169e-26
"genome_117"	1752163.64410944	-0.0856809192737079	1.56989556517308e-09	-1.27737897334107e-17	3.8944475900886e-26
"genome_118"	1470403.96696555	-0.0721889026498594	1.32784235415464e-09	-1.08455350262969e-17	3.31894369576149e-26
"genome_119"	1633207.66739969	-0.0800080969957729	1.46850629017977e-09	-1.19688475583934e-17	3.65492600169087e-26
"genome_12"	859243.052233669	-0.0419337041933344	7.66497921653932e-10	-6.21929520518109e-18	1.89002217706819e-26
"genome_120"	1252779.29619648	-0.0612880773645846	1.12336038638245e-09	-9.14299958476897e-18	2.78804425379128e-26
"genome_121"	1419177.24490087	-0.0693814122251205	1.27083835604473e-09	-1.03362488731606e-17	3.14974837414559e-26
"genome_122"	1433303.29660371	-0.0702703146889125	1.29073407359796e-09	-1.05273303359776e-17	3.21685754193872e-26
"genome_123"	1663070.1356952	-0.0815160032184801	1.4970466754256e-09	-1.22088244068947e-17	3.73055982366205e-26
"genome_124"	1615297.39021697	-0.0794360599484606	1.46367371615202e-09	-1.19761820717128e-17	3.67160514957214e-26
"genome_125"	1535903.08082422	-0.0751093083868433	1.37619244989553e-09	-1.11970808600177e-17	3.41338555302173e-26
"genome_126"	1454234.96905367	-0.0712143792150951	1.30660400871168e-09	-1.06450658407994e-17	3.24934348343437e-26
"genome_127"	1080822.55123574	-0.0529099341480496	9.70277562357767e-10	-7.89977536302501e-18	2.40939539706925e-26
"genome_128"	1647458.03199168	-0.0805998169304264	1.4774586550415e-09	-1.20266136777519e-17	3.66803149873393e-26
"genome_129"	1670365.75171859	-0.0816935742044168	1.49699640267197e-09	-1.21813447577753e-17	3.71386583192722e-26
"genome_13"	1528901.34871988	-0.0747807389934109	1.37041963177963e-09	-1.11520888694322e-17	3.40026521621303e-26
"genome_130"	1539428.41669601	-0.0752624538006495	1.37864923111999e-09	-1.12142735793826e-17	3.41779237986542e-26
"genome_131"	945610.104924868	-0.0463207548140537	8.49929137017575e-10	-6.92336755996317e-18	2.11248914248537e-26
"genome_132"	1213988.33736314	-0.059471826035564	1.0914555846977e-09	-8.89372522626289e-18	2.71493498203819e-26
"genome_133"	1329225.91291983	-0.0652298443414841	1.19935145575943e-09	-9.79229587270731e-18	2.99554558121972e-26
"genome_134"	918896.055485979	-0.0449925244816999	8.25225069665867e-10	-6.71967366623569e-18	2.04967099676531e-26
"genome_135"	1576532.90973853	-0.0774964510022645	1.42733393033495e-09	-1.16740185961205e-17	3.57751930520721e-26
"genome_136"	1813653.37706362	-0.0885193496098767	1.61881973068864e-09	-1.31468045373778e-17	4.00053427461983e-26
"genome_137"	1191611.70407333	-0.0583420818272911	1.07007787853366e-09	-8.71404565505384e-18	2.65833934923501e-26
"genome_138"	1896458.48549101	-0.0928258056620709	1.7024265801741e-09	-1.38652454352294e-17	4.23117531100621e-26
"genome_139"	1066774.23649957	-0.0522730583647763	9.59468530457912e-10	-7.81834290069384e-18	2.38640564970054e-26
"genome_14"	1169145.37270599	-0.0572249802907562	1.04930315977992e-09	-8.54278935652992e-18	2.60553791547883e-26
"genome_140"	1107586.34483345	-0.0542543446826135	9.95533781252311e-10	-8.1101243479432e-18	2.47494291846113e-26
"genome_141"	906237.636155651	-0.0445356369209227	8.19821824897435e-10	-6.69984334310033e-18	2.05097852479817e-26
"genome_142"	893256.691756999	-0.0438718292181412	8.07015811740687e-10	-6.58953547196563e-18	2.0152291720619e-26
"genome_143"	828160.094795621	-0.0407683460288072	7.51542565307354e-10	-6.14889063191277e-18	1.88397321211259e-26
"genome_144"	855434.009768402	-0.0417473914839602	7.63040879045303e-10	-6.19044603800474e-18	1.88088753802877e-26
"genome_145"	1468666.57858545	-0.0720166234799051	1.32303233635516e-09	-1.07925075460978e-17	3.29840931745512e-26
