"Fragment"	"WithVars"	"MoreHomozygous"	"AUC"
12131	7800	822	88129575.3842246
12006	7835	878	93824369.2896433
11669	7588	893	96148662.2541182
11573	7560	799	89941791.6112585
11339	7262	825	90321470.979063
12196	7748	796	97819833.9558038
11896	7734	862	95577489.232721
11258	7423	807	88958217.1939523
11873	7754	783	91854068.7506168
11662	7652	801	88717066.6181359
11668	7638	911	88730996.669635
11757	7605	808	86993445.2297226
11726	7650	867	101419985.865474
11854	7640	796	90643427.0259414
11674	7659	861	89061950.6562507
11992	7680	849	90892710.2252087
11864	7764	857	88044329.7974316
11916	7761	858	88267228.8118448
11773	7630	807	97595286.8977162
11751	7593	801	95668125.0444902
11704	7670	877	90914428.7862119
12357	8108	896	90478720.7748754
11920	7814	886	90646416.1208506
11529	7478	768	90921649.5025879
11777	7495	802	86249682.361432
11902	7651	832	84775397.298204
11951	7718	797	85976174.7252114
11749	7604	836	90991974.2946481
11978	7782	880	88669011.3165339
12273	7913	824	91755555.1142049
11798	7647	800	86160453.2006893
11955	7846	905	90179169.8981162
12183	7879	923	86466653.7280453
12021	7881	781	95956192.6292937
11943	7781	853	93904780.772203
11619	7574	825	84546746.7129611
11683	7624	946	85761797.6142941
12032	7896	852	90990676.4862161
11865	7650	871	93207981.7604519
11997	7783	827	90437488.8073165
11966	7861	906	87036693.0673228
11705	7620	865	91601240.4930131
11997	7727	806	88788285.0991465
11519	7455	839	93432758.6909069
11440	7399	827	85663873.0368054
11695	7527	886	89060608.3775432
11792	7682	874	95684850.1294704
11894	7727	910	87781605.8157719
11688	7598	814	90084314.743385
11813	7625	821	95442358.8329624
11946	7718	864	85911787.7368487
12050	7796	853	92608146.3117641
11883	7707	844	93015376.5260256
11570	7472	831	94441969.9285363
11560	7500	882	90300896.7340778
11899	7783	866	84073857.8538333
11747	7687	846	91947354.5244637
12143	7814	803	92044236.6792638
11584	7445	792	90783391.770789
12188	7949	882	89894629.621863
11657	7545	797	93172284.8947713
11782	7580	885	86475857.7147343
11877	7641	849	98151960.5365597
12076	7800	789	84104681.8401708
11655	7435	791	99600973.6571789
11977	7774	893	88636593.3955886
11578	7630	900	99367915.282897
12508	8144	863	92433135.7481061
11778	7599	812	93367405.8403555
12017	7756	891	87113167.7126951
11620	7553	881	88552643.3247217
11976	7775	873	87212912.3695939
12094	7819	888	94216703.3711056
12034	7683	830	96384488.2741048
12005	7732	782	89319992.1480974
11667	7587	742	81998344.9877382
11708	7774	807	90490511.9025449
11710	7610	782	81371231.5408203
12085	7913	826	88731834.4326786
12257	7828	823	90824053.6189074
12345	8004	868	94463480.305229
11790	7613	842	89626317.9861052
12055	7904	887	88467979.5939599
12074	7888	862	86187600.3048674
12335	7977	927	89736712.702645
11936	7715	853	90843970.3756101
12283	8013	882	93539332.4682001
11913	7757	860	85498514.2422453
11725	7647	786	94831930.0002043
12120	7857	865	92418175.239989
11824	7672	779	77870131.2128891
11732	7638	786	88235413.5925304
11835	7749	847	85866923.6342843
11416	7396	813	96485573.5334665
12024	7736	821	92889429.9641459
11400	7498	901	93921409.5026759
11969	7825	844	87327006.5667242
11748	7722	824	91371590.9409397
11623	7397	772	95440915.4143966
11998	7795	841	82853477.347937
11721	7587	899	87499649.1026748
12347	8023	835	89770353.4023097
11438	7373	855	85120772.6563147
12095	7757	874	93270899.6659564
11440	7454	880	87952779.4375401
12278	7909	859	93405469.6739827
11532	7385	703	91165961.3529422
12157	7935	906	94694962.1381539
11874	7792	905	92228409.5925162
11626	7637	834	92028603.2502193
12052	7905	875	87759443.4800572
11836	7577	873	90533706.9577349
11647	7503	835	87783278.8962279
11464	7577	845	91028917.0054461
11949	7738	820	88550791.951647
12089	7789	859	90019320.8296141
11734	7587	805	91591042.7697512
11587	7521	809	90997744.2900899
12065	7763	898	86695376.6549687
12007	7784	870	88728958.2362354
11728	7587	801	81834585.3590031
11646	7489	831	94599978.8116498
12664	8119	879	92034272.1568853
11757	7621	870	95735820.3142431
11668	7618	808	97521599.168398
