"fragment"	"length"	"numhm"	"numht"	"file"
"seq_id_5044"	170351	1	0	"genome_1"
"seq_id_5076"	30926	1	0	"genome_10"
"seq_id_5367"	785	1	0	"genome_100"
"seq_id_5129"	247482	1	0	"genome_1000"
"seq_id_4956"	23999	1	0	"genome_101"
"seq_id_5223"	10252	1	0	"genome_102"
"seq_id_4976"	17989	1	0	"genome_103"
"seq_id_5148"	7179	1	0	"genome_104"
"seq_id_5403"	196567	1	0	"genome_105"
"seq_id_5104"	6127	1	0	"genome_106"
"seq_id_5190"	251118	1	0	"genome_107"
"seq_id_5266"	37591	1	0	"genome_108"
"seq_id_5225"	50129	1	0	"genome_109"
"seq_id_4751"	4563	1	0	"genome_11"
"seq_id_5113"	1951	1	0	"genome_110"
"seq_id_5149"	124260	1	0	"genome_111"
"seq_id_4928"	8738	1	0	"genome_112"
"seq_id_4961"	26778	1	0	"genome_113"
"seq_id_4935"	19188	1	0	"genome_114"
"seq_id_5010"	4855	0	0	"genome_115"
"seq_id_4884"	5140	1	0	"genome_116"
"seq_id_5040"	15521	1	0	"genome_117"
"seq_id_5185"	2752	1	0	"genome_118"
"seq_id_5082"	139538	1	0	"genome_119"
"seq_id_5113"	36126	1	0	"genome_12"
"seq_id_5112"	12384	1	0	"genome_120"
"seq_id_5201"	150941	1	0	"genome_121"
"seq_id_5213"	110697	1	0	"genome_122"
"seq_id_5303"	10144	1	0	"genome_123"
"seq_id_5059"	36089	1	0	"genome_124"
"seq_id_5455"	40682	1	0	"genome_125"
"seq_id_5159"	39206	1	0	"genome_126"
"seq_id_4869"	397666	2	0	"genome_127"
"seq_id_4785"	6858	1	0	"genome_128"
"seq_id_5044"	13249	1	0	"genome_129"
"seq_id_4972"	56270	1	0	"genome_13"
"seq_id_5369"	39602	1	0	"genome_130"
"seq_id_5345"	5143	1	0	"genome_131"
"seq_id_4912"	5242	1	0	"genome_132"
"seq_id_4979"	4634	1	0	"genome_133"
"seq_id_5349"	15286	1	0	"genome_134"
"seq_id_5199"	28423	1	0	"genome_135"
"seq_id_5552"	7152	1	0	"genome_136"
"seq_id_5044"	21353	1	0	"genome_137"
