position	numhm	numht
10000	1	7
20000	0	2
30000	1	2
40000	0	4
50000	0	5
60000	0	2
70000	0	9
80000	1	8
90000	2	8
100000	0	7
110000	0	9
120000	0	6
130000	1	3
140000	4	5
150000	0	8
160000	2	6
170000	1	4
180000	0	2
190000	1	10
200000	0	8
210000	2	2
220000	2	4
230000	7	3
240000	1	6
250000	5	19
260000	0	8
270000	0	2
280000	1	4
290000	0	4
300000	0	12
310000	0	3
320000	1	2
330000	1	5
340000	0	6
350000	3	6
360000	0	7
370000	1	5
380000	1	12
390000	2	6
400000	2	7
410000	0	3
420000	2	14
430000	2	12
440000	1	12
450000	4	13
460000	1	4
470000	0	2
480000	0	0
490000	0	2
500000	1	7
510000	0	3
520000	0	0
530000	0	0
540000	0	0
550000	0	0
560000	0	0
570000	0	0
580000	0	0
590000	0	0
600000	0	0
610000	0	0
620000	0	0
630000	0	0
640000	0	0
650000	0	0
660000	0	0
670000	0	0
680000	0	0
690000	0	0
700000	0	0
710000	0	0
720000	1	0
730000	0	0
740000	0	1
750000	0	0
760000	0	0
770000	0	0
780000	0	0
790000	0	0
800000	0	0
810000	0	0
820000	0	0
830000	0	0
840000	0	0
850000	0	0
860000	0	0
870000	0	0
880000	0	0
890000	0	0
900000	0	0
910000	0	0
920000	0	0
930000	0	0
940000	0	0
950000	0	0
960000	0	0
970000	0	0
980000	0	0
990000	0	0
1000000	0	0
1010000	0	0
1020000	0	0
1030000	0	0
1040000	0	0
1050000	0	0
1060000	0	1
1070000	0	0
1080000	0	0
1090000	0	0
1100000	0	0
1110000	0	0
1120000	0	0
1130000	1	6
1140000	0	3
1150000	3	11
1160000	2	7
1170000	1	6
1180000	2	4
1190000	0	5
1200000	1	13
1210000	2	0
1220000	2	6
1230000	2	3
1240000	1	3
1250000	1	10
1260000	0	13
1270000	0	5
1280000	0	6
1290000	1	6
1300000	0	4
1310000	0	2
1320000	0	1
1330000	0	4
1340000	0	1
1350000	0	1
1360000	0	0
1370000	0	2
1380000	0	1
1390000	0	3
1400000	0	7
1410000	1	1
1420000	0	4
1430000	1	12
1440000	0	2
1450000	0	4
1460000	0	2
1470000	0	0
1480000	0	1
1490000	0	2
1500000	0	8
1510000	2	10
1520000	1	1
1530000	3	3
1540000	1	3
1550000	1	9
1560000	1	6
1570000	4	37
1580000	2	3
1590000	2	8
1600000	0	2
1610000	0	1
1620000	0	6
1630000	0	3
1640000	1	4
1650000	4	7
1660000	0	4
1670000	0	0
1680000	0	5
1690000	0	4
1700000	0	2
1710000	0	4
1720000	1	22
1730000	1	15
1740000	1	3
1750000	0	5
1760000	0	1
1770000	0	1
1780000	0	0
1790000	0	1
1800000	0	2
1810000	0	3
1820000	0	2
1830000	1	10
1840000	0	2
1850000	2	1
1860000	0	6
1870000	0	5
1880000	0	3
1890000	0	3
1900000	0	1
1910000	0	3
1920000	0	0
1930000	0	3
1940000	0	3
1950000	0	11
1960000	0	7
1970000	0	1
1980000	1	2
1990000	0	4
2000000	0	4
2010000	0	10
2020000	0	5
2030000	1	6
2040000	0	3
2050000	0	2
2060000	0	6
2070000	1	1
2080000	0	2
2090000	1	3
2100000	0	2
2110000	0	0
2120000	0	0
2130000	0	1
2140000	0	0
2150000	0	0
2160000	0	0
2170000	0	0
2180000	0	0
2190000	0	0
2200000	0	0
2210000	0	0
2220000	0	0
2230000	0	0
2240000	0	0
2250000	0	0
2260000	0	0
2270000	0	0
2280000	0	0
2290000	1	0
2300000	0	0
2310000	0	3
2320000	1	7
2330000	8	36
2340000	3	12
2350000	0	9
2360000	0	4
2370000	0	3
2380000	3	10
2390000	0	4
2400000	2	8
2410000	0	4
2420000	0	10
2430000	0	13
2440000	0	7
2450000	0	4
2460000	0	3
2470000	0	1
2480000	1	1
2490000	0	2
2500000	0	0
2510000	0	0
2520000	0	0
2530000	0	2
2540000	0	1
2550000	0	0
2560000	0	0
2570000	0	1
2580000	1	11
2590000	2	8
2600000	0	2
2610000	0	0
2620000	1	4
2630000	0	2
2640000	1	6
2650000	0	3
2660000	0	2
2670000	0	2
2680000	0	2
2690000	1	3
2700000	3	9
2710000	0	22
