position	numhm	numht
500000	22	140
1000000	25	121
1500000	25	101
2000000	26	95
2500000	21	109
3000000	29	136
3500000	15	79
4000000	7	19
4500000	28	91
5000000	17	80
5500000	18	84
6000000	31	58
6500000	69	40
7000000	91	52
7500000	16	28
8000000	21	66
8500000	12	18
9000000	169	136
9500000	269	181
10000000	218	316
10500000	186	236
11000000	207	125
11500000	210	66
12000000	134	16
12500000	187	18
13000000	435	30
13500000	352	19
14000000	352	33
14500000	295	26
15000000	209	10
15500000	287	54
16000000	222	43
16500000	276	72
17000000	181	68
17500000	171	86
18000000	138	74
18500000	85	45
19000000	72	73
19500000	2	1
20000000	34	44
20500000	20	16
21000000	58	73
21500000	10	12
22000000	53	72
22500000	57	117
23000000	74	109
23500000	50	59
24000000	45	110
24500000	30	101
25000000	26	120
