position	numhm	numht
50000	2	23
100000	3	16
150000	2	18
200000	23	42
250000	3	18
300000	0	0
350000	1	1
400000	0	0
450000	0	0
500000	0	0
550000	0	1
600000	0	1
650000	1	1
700000	19	48
750000	35	51
800000	38	49
850000	1	0
900000	0	5
950000	6	18
1000000	8	12
1050000	28	36
1100000	38	50
1150000	21	29
1200000	0	1
1250000	0	1
1300000	0	2
1350000	14	19
1400000	0	2
1450000	2	2
1500000	1	3
1550000	1	1
1600000	2	1
1650000	0	3
1700000	0	22
1750000	3	9
1800000	0	6
1850000	4	12
1900000	0	9
1950000	1	8
2000000	0	2
2050000	0	5
2100000	6	59
2150000	0	0
2200000	1	18
2250000	0	3
2300000	0	0
2350000	0	4
2400000	0	0
2450000	0	0
2500000	0	0
2550000	0	0
2600000	1	3
2650000	0	9
2700000	0	1
2750000	1	7
2800000	0	5
2850000	19	14
2900000	36	17
2950000	19	21
3000000	34	48
3050000	29	54
3100000	36	51
3150000	58	36
3200000	5	16
3250000	10	12
3300000	26	30
3350000	73	56
3400000	56	54
3450000	50	38
3500000	43	57
3550000	61	38
3600000	53	64
3650000	43	36
3700000	32	48
3750000	25	15
3800000	67	29
3850000	34	61
3900000	33	36
3950000	59	42
4000000	16	74
4050000	23	69
4100000	25	48
4150000	52	101
4200000	40	83
4250000	56	58
4300000	18	12
4350000	54	72
4400000	10	21
4450000	4	8
4500000	6	11
4550000	16	10
4600000	87	105
4650000	19	16
4700000	25	16
4750000	60	40
4800000	84	123
4850000	38	24
4900000	41	27
4950000	39	42
5000000	52	36
5050000	32	52
5100000	30	53
5150000	48	40
5200000	17	8
5250000	23	4
5300000	72	19
5350000	42	15
5400000	46	20
5450000	63	19
5500000	2	5
5550000	0	1
5600000	28	13
5650000	38	9
5700000	80	11
5750000	64	12
5800000	24	20
5850000	42	16
5900000	21	10
5950000	24	10
6000000	10	6
6050000	0	1
6100000	0	1
6150000	0	4
6200000	45	7
6250000	55	12
6300000	30	2
6350000	62	11
6400000	52	4
6450000	55	15
6500000	5	1
6550000	0	4
6600000	3	1
6650000	0	0
6700000	0	2
6750000	67	5
6800000	92	10
6850000	60	3
6900000	34	1
6950000	98	5
7000000	114	6
7050000	70	5
7100000	67	3
7150000	59	9
7200000	124	6
7250000	91	5
7300000	39	10
7350000	90	6
7400000	82	1
7450000	78	16
7500000	37	4
7550000	30	0
7600000	77	9
7650000	92	13
7700000	30	2
7750000	61	5
7800000	51	1
7850000	61	5
7900000	58	7
7950000	64	5
8000000	57	4
8050000	104	38
8100000	66	6
8150000	61	13
8200000	50	2
8250000	44	2
8300000	70	7
8350000	26	1
8400000	56	2
8450000	53	1
8500000	37	2
8550000	58	4
8600000	107	18
8650000	21	11
8700000	2	0
8750000	15	15
8800000	98	0
8850000	58	2
8900000	36	1
8950000	88	2
9000000	24	0
9050000	36	3
9100000	26	1
9150000	73	8
9200000	83	8
9250000	26	1
9300000	40	5
9350000	42	0
9400000	42	1
9450000	91	5
9500000	118	26
9550000	39	48
9600000	35	2
9650000	33	4
9700000	37	2
9750000	34	6
9800000	55	2
9850000	19	3
9900000	47	3
9950000	48	5
10000000	50	6
10050000	28	0
10100000	32	0
10150000	55	11
10200000	54	5
10250000	28	3
10300000	46	3
10350000	50	7
10400000	24	2
10450000	60	17
10500000	24	0
10550000	18	5
10600000	53	7
10650000	128	31
10700000	45	10
10750000	60	13
10800000	39	2
10850000	46	4
10900000	39	15
10950000	49	21
11000000	83	41
11050000	53	15
11100000	1	0
11150000	11	16
11200000	18	7
11250000	24	12
11300000	23	10
11350000	20	7
11400000	16	13
11450000	38	27
11500000	1	2
11550000	8	3
11600000	65	41
11650000	48	14
11700000	38	13
11750000	33	25
11800000	58	45
11850000	20	17
11900000	40	24
11950000	18	15
12000000	16	11
12050000	16	14
12100000	3	2
12150000	87	59
12200000	13	7
12250000	0	0
12300000	23	17
12350000	35	26
12400000	30	13
12450000	19	8
12500000	40	32
12550000	21	12
12600000	10	11
12650000	17	6
12700000	4	7
12750000	2	5
12800000	6	5
12850000	10	9
12900000	9	16
12950000	27	14
13000000	29	35
13050000	10	8
13100000	10	14
13150000	22	16
13200000	22	38
13250000	13	6
13300000	6	6
13350000	0	0
13400000	1	1
13450000	0	0
13500000	0	0
13550000	0	3
13600000	1	0
13650000	0	0
13700000	1	0
13750000	0	0
13800000	0	0
13850000	0	0
13900000	27	28
13950000	9	14
14000000	31	15
14050000	1	0
14100000	0	0
14150000	0	0
14200000	0	1
14250000	0	0
14300000	0	2
14350000	0	0
14400000	0	0
14450000	1	0
14500000	0	0
14550000	1	1
14600000	0	0
14650000	3	1
14700000	1	0
14750000	10	10
14800000	16	13
14850000	8	11
14900000	14	14
14950000	12	13
15000000	10	6
15050000	7	17
15100000	15	28
15150000	6	12
15200000	10	10
15250000	9	13
15300000	17	40
15350000	12	7
15400000	10	11
15450000	6	6
15500000	0	1
15550000	0	0
15600000	1	3
15650000	0	1
15700000	0	0
15750000	0	4
15800000	0	1
15850000	2	1
15900000	0	2
15950000	3	2
16000000	8	2
16050000	11	11
16100000	15	24
16150000	0	0
16200000	2	1
16250000	36	44
16300000	20	36
16350000	17	22
16400000	15	30
16450000	22	48
16500000	4	6
16550000	19	27
16600000	29	53
16650000	10	30
16700000	19	27
16750000	9	24
16800000	2	5
16850000	12	14
16900000	5	13
16950000	16	26
17000000	6	8
17050000	14	28
17100000	32	79
17150000	27	75
17200000	3	3
17250000	7	34
17300000	9	44
17350000	19	36
17400000	7	8
17450000	8	10
17500000	0	1
17550000	5	7
17600000	12	37
17650000	22	61
17700000	9	16
17750000	0	2
17800000	0	0
17850000	0	3
17900000	7	27
17950000	8	16
18000000	2	7
18050000	4	10
18100000	24	66
18150000	3	23
18200000	10	77
18250000	1	6
18300000	13	31
18350000	4	24
18400000	7	15
18450000	6	45
18500000	9	26
18550000	12	44
18600000	0	12
