fragment_id	length
seq_id_2115	1117
seq_id_8209	50282
seq_id_11707	246867
seq_id_4116	6088
seq_id_3469	30849
seq_id_2881	765
seq_id_2616	1202
seq_id_6471	31589
seq_id_6288	2919
seq_id_6931	5089
seq_id_11364	510
seq_id_4183	2578
seq_id_1575	3259
seq_id_11559	20396
seq_id_7313	10883
seq_id_3319	1475
seq_id_4994	889
seq_id_8710	4203
seq_id_545	3368
seq_id_7109	2529
seq_id_3199	7054
seq_id_4339	1139
seq_id_11815	772
seq_id_9150	6443
seq_id_2521	131005
seq_id_2432	72322
seq_id_3091	533
seq_id_11073	1324
seq_id_9039	3300
seq_id_7504	3359
seq_id_2321	574
seq_id_5966	14779
seq_id_6257	3497
seq_id_11762	2830
seq_id_4486	2767
seq_id_4732	1837
seq_id_5442	11477
seq_id_5650	1186
seq_id_6537	2735
seq_id_11507	116775
seq_id_9924	1387
seq_id_6070	1212
seq_id_2205	1325
seq_id_3938	6570
seq_id_4237	12720
seq_id_4591	61853
seq_id_9226	588
seq_id_3083	3513
seq_id_4165	19979
seq_id_8676	6578
seq_id_11290	3857
seq_id_1645	6680
seq_id_4739	4681
seq_id_5091	677
seq_id_589	6486
seq_id_1076	1697
seq_id_6719	14748
seq_id_332	2440
seq_id_5962	1100
seq_id_525	541
seq_id_8410	642
seq_id_564	5564
seq_id_9813	1037
seq_id_9314	25026
seq_id_2637	1412
seq_id_1003	4383
seq_id_10320	1190
seq_id_9402	1258
seq_id_10405	5437
seq_id_2590	4257
seq_id_10902	2120
seq_id_10555	21366
seq_id_50	4273
seq_id_3340	6912
seq_id_1862	29416
seq_id_8382	3815
seq_id_8702	1610
seq_id_9520	31152
seq_id_1909	20509
seq_id_10165	10295
seq_id_11350	10463
seq_id_1073	6826
seq_id_252	598
seq_id_6621	10117
seq_id_11502	3585
seq_id_8428	31726
seq_id_5295	13008
seq_id_6006	21011
seq_id_7711	3551
seq_id_7936	12088
seq_id_2350	4527
seq_id_5783	1199
seq_id_9980	2633
seq_id_8231	27206
seq_id_746	930
seq_id_11295	529
seq_id_355	6697
seq_id_966	5460
seq_id_11316	810
seq_id_7661	2279
seq_id_8104	31480
seq_id_5652	10374
seq_id_1180	15170
seq_id_5522	754
seq_id_7419	662
seq_id_5292	8628
seq_id_4762	1056
seq_id_3707	6370
seq_id_7923	761
seq_id_557	6159
seq_id_8592	12516
seq_id_5741	688
seq_id_3523	1706
seq_id_9972	72099
seq_id_4592	811
seq_id_9760	1027
seq_id_4795	7203
seq_id_5817	2575
seq_id_10270	856
seq_id_4405	731
seq_id_356	2099
seq_id_10637	1746
seq_id_7505	40468
seq_id_5663	1257
seq_id_11272	1460
seq_id_97	3220
seq_id_34	2722
seq_id_4098	2385
seq_id_10801	2775
seq_id_7169	4430
seq_id_9787	60073
seq_id_590	4182
seq_id_10842	33054
seq_id_9709	3014
seq_id_4760	10226
seq_id_152	937
seq_id_11577	43672
seq_id_4387	16983
seq_id_4577	21090
seq_id_3105	7764
seq_id_8575	1855
seq_id_11592	19582
seq_id_623	19422
seq_id_8662	1363
seq_id_9095	3334
seq_id_6194	844
seq_id_1118	55111
seq_id_11841	3382
seq_id_246	3265
seq_id_11586	2619
seq_id_11229	965
seq_id_10021	13109
seq_id_11051	2032
seq_id_11276	33623
seq_id_6084	1108
seq_id_6352	28487
seq_id_9021	5393
seq_id_4115	846
seq_id_9764	3754
seq_id_10640	617
seq_id_2667	1193
