position	numhm	numht
100000	5	57
200000	9	58
300000	19	63
400000	12	67
500000	9	59
600000	0	0
700000	1	0
800000	0	1
900000	0	0
1000000	0	0
1100000	1	5
1200000	14	59
1300000	4	55
1400000	2	30
1500000	7	38
1600000	10	79
1700000	7	65
1800000	2	27
1900000	2	35
2000000	2	44
2100000	2	9
2200000	1	6
2300000	17	103
2400000	1	32
2500000	4	27
2600000	5	51
2700000	3	48
2800000	4	25
2900000	1	34
3000000	9	90
3100000	3	27
3200000	9	68
3300000	4	48
3400000	10	73
3500000	5	36
3600000	6	83
3700000	8	49
3800000	9	76
3900000	12	46
4000000	7	69
4100000	12	146
4200000	4	48
4300000	5	51
4400000	5	35
4500000	1	28
4600000	4	86
4700000	2	31
4800000	3	18
4900000	0	0
5000000	0	1
5100000	2	14
5200000	12	67
5300000	3	36
5400000	14	124
5500000	4	34
5600000	4	71
5700000	10	62
5800000	0	35
5900000	9	61
6000000	2	11
6100000	8	44
6200000	2	47
6300000	7	42
6400000	13	127
6500000	2	32
6600000	7	106
6700000	4	56
6800000	6	95
6900000	10	55
7000000	8	95
7100000	21	145
7200000	13	151
7300000	2	61
7400000	4	42
7500000	13	98
7600000	16	112
7700000	15	106
7800000	10	84
7900000	10	76
8000000	8	110
8100000	2	27
8200000	2	42
8300000	3	54
8400000	10	87
8500000	5	83
8600000	12	114
8700000	5	52
8800000	5	36
8900000	5	101
9000000	6	77
9100000	4	67
9200000	8	74
9300000	8	38
9400000	5	66
9500000	0	9
9600000	3	55
9700000	5	47
9800000	2	33
9900000	3	35
10000000	6	53
10100000	15	95
10200000	10	100
10300000	14	165
10400000	8	134
10500000	0	1
10600000	0	2
10700000	0	0
10800000	0	3
10900000	0	3
11000000	1	41
11100000	2	26
11200000	5	106
11300000	9	109
11400000	14	180
11500000	8	142
11600000	23	120
11700000	10	103
11800000	5	75
11900000	5	73
12000000	16	182
12100000	11	192
12200000	17	223
12300000	9	98
12400000	6	173
12500000	2	114
12600000	2	63
12700000	4	50
12800000	8	157
12900000	3	122
13000000	6	112
13100000	5	123
13200000	15	131
13300000	11	121
13400000	5	113
13500000	10	287
13600000	10	169
13700000	12	205
13800000	15	152
13900000	12	106
14000000	24	204
14100000	7	108
14200000	5	83
14300000	6	89
14400000	22	113
14500000	20	87
14600000	8	153
14700000	13	180
14800000	16	122
14900000	20	131
15000000	19	120
15100000	8	46
15200000	12	158
15300000	6	62
15400000	14	120
15500000	1	5
15600000	6	54
15700000	6	116
15800000	17	74
15900000	8	116
16000000	21	82
16100000	12	113
16200000	5	40
16300000	13	118
16400000	24	159
16500000	32	112
16600000	11	146
16700000	9	85
16800000	12	81
16900000	18	158
17000000	17	80
17100000	13	114
17200000	18	72
17300000	21	91
17400000	3	23
17500000	2	16
17600000	0	13
17700000	4	13
17800000	1	6
17900000	22	87
18000000	13	108
18100000	7	86
18200000	19	113
18300000	12	69
18400000	7	23
18500000	19	93
18600000	36	93
18700000	27	146
18800000	42	162
18900000	24	193
19000000	26	190
19100000	18	56
19200000	26	167
19300000	45	258
19400000	38	189
19500000	58	243
19600000	36	189
19700000	21	121
19800000	48	157
19900000	39	134
20000000	42	166
20100000	54	148
20200000	38	144
20300000	31	96
20400000	39	130
20500000	25	138
20600000	31	101
20700000	28	144
20800000	35	105
20900000	46	186
21000000	38	102
21100000	18	119
21200000	23	96
21300000	35	193
21400000	40	186
21500000	39	113
21600000	43	190
21700000	19	68
21800000	22	52
21900000	33	102
22000000	26	82
22100000	25	58
22200000	32	72
22300000	19	67
22400000	16	44
22500000	34	136
22600000	44	105
22700000	73	238
22800000	11	18
22900000	47	136
23000000	18	57
23100000	14	53
23200000	17	46
23300000	5	15
23400000	23	55
23500000	20	49
23600000	14	28
23700000	16	49
23800000	0	13
23900000	25	49
24000000	10	65
24100000	32	81
24200000	25	71
24300000	12	24
24400000	20	61
24500000	14	47
24600000	13	49
24700000	7	38
24800000	17	44
24900000	29	107
25000000	14	31
25100000	23	74
25200000	17	26
25300000	14	50
25400000	22	81
25500000	22	62
25600000	19	39
25700000	15	50
25800000	16	43
25900000	18	52
26000000	28	66
26100000	19	44
26200000	32	88
26300000	3	11
26400000	18	94
26500000	19	98
26600000	33	112
26700000	13	46
26800000	10	76
26900000	9	98
27000000	5	84
27100000	8	66
27200000	14	147
27300000	9	110
27400000	4	71
27500000	10	87
27600000	6	64
27700000	11	134
27800000	3	43
27900000	11	100
28000000	8	122
28100000	7	100
28200000	10	98
28300000	6	116
28400000	1	74
28500000	4	121
28600000	8	135
28700000	8	144
28800000	9	96
28900000	1	99
29000000	6	162
29100000	4	106
29200000	9	147
29300000	6	214
29400000	2	47
29500000	4	168
29600000	3	135
29700000	11	237
29800000	6	192
29900000	7	160
30000000	10	186
30100000	3	120
30200000	4	175
30300000	5	131
30400000	3	203
30500000	11	204
30600000	6	123
30700000	2	133
30800000	8	141
30900000	5	168
31000000	4	106
31100000	4	153
31200000	4	138
31300000	6	103
31400000	5	43
31500000	7	132
31600000	8	146
31700000	4	102
31800000	14	134
31900000	2	40
32000000	7	66
32100000	3	60
32200000	3	70
32300000	6	93
32400000	8	92
32500000	6	91
32600000	4	83
32700000	3	66
32800000	3	48
32900000	8	70
33000000	0	6
