position	numhm	numht
10000	0	9
20000	0	28
30000	0	29
40000	1	23
50000	0	36
60000	0	75
70000	0	131
80000	0	140
90000	0	122
100000	0	33
110000	0	107
120000	0	282
130000	0	157
140000	0	111
150000	0	130
160000	0	46
170000	0	95
180000	0	118
190000	1	168
200000	1	110
210000	0	128
220000	0	71
230000	0	95
240000	0	107
250000	0	174
260000	0	19
270000	0	8
280000	0	34
290000	2	4
300000	0	7
310000	0	144
320000	1	23
330000	0	98
340000	1	137
350000	0	114
360000	0	20
370000	0	28
380000	1	35
390000	0	91
400000	0	147
410000	0	61
420000	0	1
430000	0	58
440000	0	28
450000	0	16
460000	2	29
470000	0	35
480000	0	38
490000	0	60
500000	0	19
510000	0	93
520000	0	26
530000	0	24
540000	0	138
550000	0	41
560000	0	64
570000	0	150
580000	0	67
590000	0	105
600000	0	41
610000	0	160
620000	0	51
630000	0	61
640000	0	161
650000	0	47
660000	0	54
670000	0	119
680000	0	59
690000	0	37
700000	0	37
710000	0	62
720000	0	46
730000	0	86
740000	1	108
750000	0	117
760000	0	102
770000	0	64
780000	0	87
790000	0	6
800000	0	2
810000	0	45
820000	0	23
830000	0	6
840000	0	23
850000	0	81
860000	0	184
870000	0	40
880000	0	80
890000	0	81
900000	0	40
910000	0	31
920000	0	87
930000	0	82
940000	0	70
950000	0	33
960000	0	25
970000	0	18
980000	0	37
990000	0	48
1000000	0	57
1010000	0	24
1020000	0	61
1030000	0	126
1040000	0	34
1050000	0	40
1060000	1	33
1070000	0	67
1080000	0	73
1090000	0	128
1100000	0	13
1110000	0	79
1120000	0	32
1130000	0	41
1140000	0	7
1150000	0	16
1160000	0	5
1170000	0	13
1180000	0	18
1190000	0	110
1200000	0	56
1210000	0	75
1220000	0	86
1230000	0	46
1240000	0	71
1250000	0	100
1260000	0	157
1270000	0	46
1280000	0	67
1290000	0	92
1300000	0	32
1310000	0	9
1320000	0	6
1330000	0	33
1340000	0	168
1350000	0	156
1360000	0	30
1370000	0	115
1380000	0	177
1390000	0	119
1400000	0	56
1410000	0	104
1420000	0	50
1430000	0	26
1440000	0	16
1450000	0	29
1460000	0	93
1470000	0	95
1480000	0	20
1490000	0	15
1500000	0	29
1510000	0	53
1520000	0	37
1530000	0	34
1540000	0	27
1550000	0	38
1560000	0	75
