fragment	length	numhm	numht
seq_id_1	6328	0	0
seq_id_2	7645	0	0
seq_id_3	504	0	0
seq_id_4	1899	0	0
seq_id_5	75995	0	1
seq_id_6	3677	0	0
seq_id_7	659	0	0
seq_id_8	895	0	0
seq_id_9	3822	0	0
seq_id_10	1206	0	0
seq_id_11	6742	0	0
seq_id_12	8245	0	0
seq_id_13	2314	0	0
seq_id_14	10529	0	1
seq_id_15	1074	0	0
seq_id_16	874	0	0
seq_id_17	987	0	0
seq_id_18	5906	0	0
seq_id_19	28453	0	0
seq_id_20	2212	0	0
seq_id_21	792	0	0
seq_id_22	14663	0	0
seq_id_23	965	0	0
seq_id_24	5266	0	0
seq_id_25	11125	0	0
seq_id_26	2332	0	0
seq_id_27	4873	0	0
seq_id_28	2352	0	0
seq_id_29	2400	0	0
seq_id_30	627	0	0
seq_id_31	20470	0	0
seq_id_32	1422	0	0
seq_id_33	4637	0	0
seq_id_34	1605	0	0
seq_id_35	26534	0	0
seq_id_36	2122	0	0
seq_id_37	1435	0	0
seq_id_38	32414	0	0
seq_id_39	33595	0	1
seq_id_40	12374	0	0
seq_id_41	27939	0	0
seq_id_42	1335	0	0
seq_id_43	3613	0	0
seq_id_44	7823	0	0
seq_id_45	12174	0	0
seq_id_46	29311	0	0
seq_id_47	3055	0	0
seq_id_48	621	0	0
seq_id_49	46636	0	0
seq_id_50	8182	0	0
seq_id_51	912	0	0
seq_id_52	3779	0	0
seq_id_53	53735	0	0
seq_id_54	3977	0	0
seq_id_55	3087	0	0
seq_id_56	1040	0	0
seq_id_57	7584	0	0
seq_id_58	832	0	0
seq_id_59	12396	0	0
seq_id_60	11005	0	0
seq_id_61	7862	0	0
seq_id_62	1267	0	0
seq_id_63	55354	0	0
seq_id_64	1942	0	0
seq_id_65	970	0	0
seq_id_66	10345	0	0
seq_id_67	620	0	0
seq_id_68	3771	0	0
seq_id_69	657	0	0
seq_id_70	1338	0	0
seq_id_71	2001	0	0
seq_id_72	3100	0	0
seq_id_73	831	0	0
seq_id_74	1137	0	0
seq_id_75	4475	0	0
seq_id_76	5058	0	0
seq_id_77	13141	0	0
seq_id_78	532	0	0
seq_id_79	12577	0	0
seq_id_80	22919	0	0
seq_id_81	3804	0	0
seq_id_82	2256	0	0
seq_id_83	4771	0	0
seq_id_84	18542	0	0
seq_id_85	18184	0	0
seq_id_86	1003	0	0
seq_id_87	4555	0	0
seq_id_88	1478	0	0
seq_id_89	3428	0	0
seq_id_90	2668	0	0
seq_id_91	6137	0	0
seq_id_92	16295	0	0
seq_id_93	1669	0	0
seq_id_94	22279	0	0
seq_id_95	874	0	0
seq_id_96	7616	0	0
seq_id_97	8292	0	1
seq_id_98	2638	0	0
seq_id_99	8942	0	0
seq_id_100	572	0	0
seq_id_101	511	0	0
seq_id_102	1854	0	0
seq_id_103	736	0	0
seq_id_104	4050	0	0
seq_id_105	3757	0	0
seq_id_106	9139	0	0
seq_id_107	6162	0	0
seq_id_108	6357	0	0
seq_id_109	32772	0	1
seq_id_110	4944	0	0
seq_id_111	806	0	0
seq_id_112	1698	0	0
seq_id_113	2919	0	0
seq_id_114	1647	0	0
seq_id_115	2374	0	0
seq_id_116	3432	0	0
seq_id_117	6304	0	0
seq_id_118	4149	0	0
seq_id_119	5050	0	0
seq_id_120	1231	0	0
seq_id_121	855	0	0
seq_id_122	25166	0	0
seq_id_123	1269	0	0
seq_id_124	1375	0	0
seq_id_125	3749	0	0
seq_id_126	557	0	0
seq_id_127	974	0	0
seq_id_128	24029	0	0
seq_id_129	1551	0	0
seq_id_130	15094	0	0
seq_id_131	554	0	0
seq_id_132	4544	0	0
seq_id_133	12892	0	0
seq_id_134	832	0	0
seq_id_135	979	0	0
seq_id_136	2578	0	0
seq_id_137	1940	0	0
seq_id_138	7219	0	0
seq_id_139	1527	0	0
seq_id_140	3941	0	0
seq_id_141	1781	0	0
seq_id_142	4244	0	0
seq_id_143	765	0	0
seq_id_144	19952	0	0
seq_id_145	3276	0	0
seq_id_146	2151	0	0
seq_id_147	2499	0	0
seq_id_148	1105	0	0
seq_id_149	3506	0	0
seq_id_150	7052	0	0
seq_id_151	5397	0	0
seq_id_152	13486	0	0
seq_id_153	712	0	0
seq_id_154	4936	0	0
seq_id_155	673	0	0
seq_id_156	1612	0	0
seq_id_157	1317	0	0
seq_id_158	3073	0	0
seq_id_159	8690	0	0
seq_id_160	16220	0	0
seq_id_161	866	0	0
seq_id_162	1330	0	0
seq_id_163	1298	0	0
seq_id_164	716	0	0
seq_id_165	2443	0	0
seq_id_166	1211	0	0
seq_id_167	9401	0	0
seq_id_168	1788	0	0
seq_id_169	529	0	0
seq_id_170	23792	0	0
seq_id_171	1639	0	0
seq_id_172	6154	0	0
seq_id_173	584	0	0
seq_id_174	1025	0	0
seq_id_175	30626	0	0
seq_id_176	5498	0	0
seq_id_177	3812	0	0
seq_id_178	42422	0	0
seq_id_179	2667	0	0
seq_id_180	39358	0	0
seq_id_181	4460	0	0
seq_id_182	7480	0	0
seq_id_183	48735	0	0
seq_id_184	2138	0	0
seq_id_185	1409	0	0
seq_id_186	15088	0	0
seq_id_187	18495	0	0
seq_id_188	17257	0	0
seq_id_189	7620	0	0
seq_id_190	2250	0	0
seq_id_191	36283	0	0
seq_id_192	13542	0	0
seq_id_193	5016	0	0
seq_id_194	7253	0	0
seq_id_195	7668	0	0
seq_id_196	2543	0	0
seq_id_197	1634	0	0
seq_id_198	421383	0	2
seq_id_199	14500	0	0
seq_id_200	7527	0	0
seq_id_201	7836	0	0
seq_id_202	3587	0	0
seq_id_203	3439	0	0
seq_id_204	1105	0	0
seq_id_205	2168	0	0
seq_id_206	7568	0	0
seq_id_207	2493	0	0
seq_id_208	15298	0	0
seq_id_209	1154	0	0
seq_id_210	6398	0	0
seq_id_211	5814	0	0
seq_id_212	13228	0	0
seq_id_213	3193	0	0
seq_id_214	749	0	0
seq_id_215	1324	0	0
seq_id_216	6062	0	0
seq_id_217	10368	0	0
seq_id_218	1165	0	0
seq_id_219	25300	0	0
seq_id_220	8107	0	0
seq_id_221	1184	0	0
seq_id_222	2795	0	0
seq_id_223	2662	0	0
seq_id_224	3054	0	0
seq_id_225	4164	0	0
seq_id_226	678	0	0
seq_id_227	3296	0	0
seq_id_228	16432	0	0
seq_id_229	1787	0	0
seq_id_230	841	0	0
seq_id_231	783	0	0
seq_id_232	3749	0	0
seq_id_233	12192	0	0
seq_id_234	3241	0	0
seq_id_235	5719	0	0
seq_id_236	551	0	0
seq_id_237	518	0	0
seq_id_238	2337	0	0
seq_id_239	1640	0	0
seq_id_240	9305	0	0
seq_id_241	703	0	0
seq_id_242	16632	0	0
seq_id_243	3618	0	0
seq_id_244	930	0	0
seq_id_245	2399	0	0
seq_id_246	18559	0	0
seq_id_247	42290	0	0
seq_id_248	5057	0	0
seq_id_249	5492	0	0
seq_id_250	2267	0	0
seq_id_251	8934	0	0
seq_id_252	75974	0	0
seq_id_253	571	0	0
seq_id_254	1133	0	0
seq_id_255	20840	0	0
seq_id_256	5024	0	0
seq_id_257	13349	0	0
seq_id_258	2558	0	0
seq_id_259	13983	0	0
seq_id_260	81458	0	0
seq_id_261	2478	0	0
seq_id_262	55288	0	1
seq_id_263	3476	0	0
seq_id_264	107644	0	0
seq_id_265	2941	0	0
seq_id_266	1215	0	0
seq_id_267	6637	0	0
seq_id_268	18792	0	0
seq_id_269	1204	0	0
seq_id_270	17326	0	0
seq_id_271	15247	0	0
seq_id_272	5009	0	0
seq_id_273	810	0	0
seq_id_274	34012	0	0
seq_id_275	4633	0	0
seq_id_276	14262	0	0
seq_id_277	685	0	0
seq_id_278	25712	0	0
seq_id_279	5418	0	0
seq_id_280	757	0	0
seq_id_281	4877	0	0
seq_id_282	2028	0	0
seq_id_283	2170	0	0
seq_id_284	2118	0	0
seq_id_285	12962	0	0
seq_id_286	7054	0	0
seq_id_287	15255	0	0
seq_id_288	1966	0	0
seq_id_289	4522	0	0
seq_id_290	1561	0	0
seq_id_291	11943	0	0
seq_id_292	1278	0	0
seq_id_293	2562	0	0
seq_id_294	2626	0	0
seq_id_295	2532	0	0
seq_id_296	3058	0	0
seq_id_297	7718	0	0
seq_id_298	22748	0	0
seq_id_299	5292	0	0
seq_id_300	2311	0	0
seq_id_301	552	0	0
seq_id_302	3172	0	0
seq_id_303	1249	0	0
seq_id_304	1130	0	0
seq_id_305	71262	0	1
seq_id_306	596	0	0
seq_id_307	7478	0	0
seq_id_308	11339	0	0
seq_id_309	1996	0	0
seq_id_310	4627	0	0
seq_id_311	531	0	0
seq_id_312	61253	0	0
seq_id_313	14095	0	0
seq_id_314	2601	0	0
seq_id_315	5513	0	0
seq_id_316	2998	0	0
seq_id_317	40822	0	0
seq_id_318	12738	0	0
seq_id_319	1737	0	0
seq_id_320	2429	0	0
seq_id_321	3811	0	0
seq_id_322	2960	0	0
seq_id_323	1845	0	0
seq_id_324	2906	0	0
seq_id_325	2420	0	0
seq_id_326	2159	0	0
seq_id_327	669	0	0
seq_id_328	9069	0	0
seq_id_329	1969	0	0
seq_id_330	1581	0	0
seq_id_331	8151	0	0
seq_id_332	24472	0	0
seq_id_333	22021	0	0
seq_id_334	581	0	0
seq_id_335	7685	0	0
seq_id_336	3384	0	0
seq_id_337	926	0	0
seq_id_338	595	0	0
seq_id_339	56670	0	0
seq_id_340	4620	0	0
seq_id_341	20194	0	1
seq_id_342	1592	0	0
seq_id_343	796	0	0
seq_id_344	15642	0	0
seq_id_345	15077	0	0
seq_id_346	3863	0	0
seq_id_347	15717	0	0
seq_id_348	21249	0	0
seq_id_349	514	0	0
seq_id_350	6205	0	0
seq_id_351	1687	0	0
seq_id_352	22879	0	0
seq_id_353	3242	0	0
seq_id_354	652	0	0
seq_id_355	15566	0	0
seq_id_356	45534	0	0
seq_id_357	3291	0	0
seq_id_358	22459	0	1
seq_id_359	16085	0	0
seq_id_360	1395	0	0
seq_id_361	9254	0	0
seq_id_362	2483	0	0
seq_id_363	625	0	0
seq_id_364	10363	0	0
seq_id_365	1246	0	0
seq_id_366	795	0	0
seq_id_367	1111	0	0
seq_id_368	13522	0	0
seq_id_369	7115	0	0
seq_id_370	2337	0	0
seq_id_371	1631	0	0
seq_id_372	11863	0	0
seq_id_373	1766	0	0
seq_id_374	1214	0	0
seq_id_375	1904	0	0
seq_id_376	12619	0	0
seq_id_377	703	0	0
seq_id_378	1161	0	0
seq_id_379	907	0	0
seq_id_380	3035	0	0
seq_id_381	1086	0	0
seq_id_382	32276	0	0
seq_id_383	1119	0	0
seq_id_384	10971	0	0
seq_id_385	2279	0	0
seq_id_386	3318	0	0
seq_id_387	1553	0	0
seq_id_388	7798	0	0
seq_id_389	5054	0	0
seq_id_390	2677	0	0
seq_id_391	3236	0	0
seq_id_392	1044	0	0
seq_id_393	4781	0	0
seq_id_394	22632	0	0
seq_id_395	3488	0	0
seq_id_396	1385	0	0
seq_id_397	8299	0	0
seq_id_398	9900	0	0
seq_id_399	1270	0	0
seq_id_400	1457	0	0
seq_id_401	83821	0	0
seq_id_402	142299	0	1
seq_id_403	1684	0	0
seq_id_404	4349	0	0
seq_id_405	6101	0	0
seq_id_406	3413	0	0
seq_id_407	11408	0	0
seq_id_408	23645	0	0
seq_id_409	3279	0	0
seq_id_410	950	0	0
seq_id_411	2242	0	0
seq_id_412	155463	0	1
seq_id_413	3320	0	0
seq_id_414	871	0	0
seq_id_415	1118	0	0
seq_id_416	4890	0	0
seq_id_417	9728	0	0
seq_id_418	12666	0	0
seq_id_419	12357	0	0
seq_id_420	4969	0	0
seq_id_421	800	0	0
seq_id_422	2065	0	0
seq_id_423	115965	0	0
seq_id_424	4249	0	0
seq_id_425	5750	0	0
seq_id_426	7711	0	0
seq_id_427	12619	0	0
seq_id_428	940	0	0
seq_id_429	701	0	0
seq_id_430	1052	0	0
seq_id_431	1641	0	0
seq_id_432	12232	0	0
seq_id_433	2489	0	0
seq_id_434	24172	0	0
seq_id_435	12085	0	0
seq_id_436	1215	0	0
seq_id_437	1913	0	0
seq_id_438	1562	0	0
seq_id_439	1609	0	0
seq_id_440	918	0	0
seq_id_441	22314	0	0
seq_id_442	1014	0	0
seq_id_443	45895	2	0
seq_id_444	6435	0	0
seq_id_445	1245	0	0
seq_id_446	4475	0	0
seq_id_447	1578	0	0
seq_id_448	1750	0	0
seq_id_449	8128	0	0
seq_id_450	2094	0	0
seq_id_451	691	0	0
seq_id_452	1175	0	0
seq_id_453	7021	0	0
seq_id_454	3083	0	0
seq_id_455	9537	0	0
seq_id_456	1007	0	0
seq_id_457	1465	0	0
seq_id_458	2801	0	0
seq_id_459	1800	0	0
seq_id_460	18848	0	0
seq_id_461	51991	0	0
seq_id_462	3361	0	0
seq_id_463	1951	0	0
seq_id_464	4393	0	0
seq_id_465	818	0	0
seq_id_466	8253	0	0
seq_id_467	1030	0	0
seq_id_468	1997	0	0
seq_id_469	754	0	0
seq_id_470	2835	0	0
seq_id_471	4055	0	0
seq_id_472	58090	0	0
seq_id_473	828	0	0
seq_id_474	16768	0	0
seq_id_475	4241	0	0
seq_id_476	12475	0	0
seq_id_477	4154	0	0
seq_id_478	1759	0	0
seq_id_479	5266	0	0
seq_id_480	12905	0	1
seq_id_481	79342	0	0
seq_id_482	10770	0	0
seq_id_483	1915	0	0
seq_id_484	2514	0	0
seq_id_485	13604	0	0
seq_id_486	1020	0	0
seq_id_487	1234	0	0
seq_id_488	2340	0	0
seq_id_489	22509	0	0
seq_id_490	1257	0	0
seq_id_491	2674	0	0
seq_id_492	6429	0	0
seq_id_493	1177	0	0
seq_id_494	743	0	0
seq_id_495	21569	0	0
seq_id_496	51714	0	0
seq_id_497	27281	0	0
seq_id_498	3734	0	0
seq_id_499	2041	0	0
seq_id_500	1701	0	0
seq_id_501	43017	0	0
seq_id_502	1068	0	0
seq_id_503	16768	0	0
seq_id_504	2708	0	0
seq_id_505	909	0	0
seq_id_506	1527	0	0
seq_id_507	3005	0	0
seq_id_508	5757	0	0
seq_id_509	3437	0	0
seq_id_510	12190	0	0
seq_id_511	5810	0	0
seq_id_512	17802	0	0
seq_id_513	6629	0	0
