position	numhm	numht
50000	31	4
100000	17	4
150000	27	4
200000	17	0
250000	3	2
300000	0	0
350000	1	0
400000	24	1
450000	30	5
500000	18	1
550000	33	1
600000	27	2
650000	34	7
700000	0	0
750000	2	0
800000	1	0
850000	0	2
900000	37	2
950000	35	3
1000000	47	2
1050000	30	4
1100000	47	0
1150000	66	11
1200000	38	2
1250000	49	1
1300000	28	0
1350000	71	5
1400000	38	0
1450000	37	5
1500000	45	1
1550000	62	5
1600000	23	3
1650000	17	0
1700000	14	0
1750000	40	2
1800000	62	2
1850000	17	0
1900000	50	1
1950000	25	4
2000000	42	1
