fragment_id	length
seq_id_3813	12624
seq_id_3048	112088
seq_id_2190	58212
seq_id_2942	143668
seq_id_4215	103043
seq_id_3588	83161
seq_id_1415	170370
seq_id_1038	930
seq_id_1281	108184
seq_id_177	33847
seq_id_2884	53873
seq_id_992	81310
seq_id_1959	55970
seq_id_3046	12565
seq_id_3338	148245
seq_id_4396	56492
seq_id_3165	87947
seq_id_1263	205055
seq_id_588	184220
seq_id_3571	18720
seq_id_1314	40804
seq_id_3662	107665
seq_id_1593	448882
seq_id_278	1685
seq_id_2896	99996
seq_id_1178	119429
seq_id_4196	132019
seq_id_2331	60534
seq_id_1908	40808
seq_id_2028	64512
seq_id_3088	30946
seq_id_454	14165
seq_id_2218	358575
seq_id_3447	10396
seq_id_2670	21208
seq_id_2230	56864
seq_id_3126	47737
seq_id_1684	27903
seq_id_3494	78916
seq_id_1779	107582
seq_id_3185	301066
seq_id_628	34568
seq_id_678	134222
seq_id_1050	6897
seq_id_884	6870
seq_id_1473	166302
seq_id_3849	40454
seq_id_315	128246
seq_id_1317	142706
seq_id_725	81039
seq_id_2812	106786
seq_id_2122	53534
seq_id_2678	58940
seq_id_312	25428
seq_id_869	1422
seq_id_3508	255052
seq_id_1993	179827
seq_id_3855	18938
seq_id_2417	100392
seq_id_126	28799
seq_id_2168	92437
seq_id_529	250144
seq_id_3534	25884
seq_id_1430	4351
seq_id_3800	99593
seq_id_2432	19665
seq_id_2072	8544
seq_id_4162	58693
seq_id_4242	1456
seq_id_2386	184317
seq_id_3084	44338
seq_id_3712	33021
seq_id_1325	76651
seq_id_4388	7277
seq_id_3378	9481
seq_id_477	383271
seq_id_2852	7102
seq_id_1174	27217
seq_id_3143	123133
seq_id_3531	45607
seq_id_962	112274
seq_id_1305	49629
seq_id_2914	103168
seq_id_2969	219180
seq_id_4127	17079
seq_id_1288	47805
seq_id_1958	48283
seq_id_3846	46212
seq_id_3783	114573
seq_id_3833	394011
seq_id_2704	120988
seq_id_334	50876
seq_id_2598	332033
seq_id_1058	55015
seq_id_1901	94364
seq_id_2635	104048
seq_id_2158	127223
seq_id_1812	73477
seq_id_1059	69892
seq_id_3739	41486
seq_id_3471	51687
seq_id_2821	65519
seq_id_3922	37980
seq_id_2555	111351
seq_id_3811	301855
seq_id_3697	25630
seq_id_4285	49154
seq_id_4116	62197
seq_id_3916	7930
seq_id_3018	25321
seq_id_2764	26709
seq_id_1341	20114
seq_id_646	25543
seq_id_589	84718
seq_id_3282	266860
seq_id_2290	7734
seq_id_2490	38398
seq_id_2654	73159
seq_id_451	160472
seq_id_267	194784
seq_id_3762	22706
seq_id_4024	116079
seq_id_4310	196852
seq_id_4433	49649
seq_id_978	70180
seq_id_1643	36203
seq_id_2830	407299
seq_id_317	17139
seq_id_2675	17297
seq_id_2649	170837
seq_id_3579	107110
seq_id_44	49036
seq_id_657	180897
seq_id_789	141454
seq_id_308	261884
seq_id_2350	1756
seq_id_2321	29719
seq_id_2972	22872
seq_id_1620	35335
seq_id_3318	67412
seq_id_271	11935
seq_id_3323	72940
seq_id_120	51832
seq_id_314	6274
seq_id_888	2138
seq_id_4413	117171
seq_id_1810	42732
