position	numhm	numht
3716	1	1
70661	42	5
134811	32	6
148079	0	0
148666	0	0
154093	1	0
154940	2	0
156122	0	0
157169	0	0
158530	0	0
159289	0	0
160118	0	0
160659	0	0
182278	14	0
192864	0	0
203068	0	0
205215	0	0
210567	0	0
214083	0	0
216767	0	0
222157	0	0
232957	3	2
235456	0	0
237244	0	0
239807	0	0
243831	0	0
245339	0	0
245889	0	0
251942	0	0
253152	0	0
254860	0	0
262066	0	0
263508	0	0
264471	0	0
265084	0	0
265611	0	0
269669	0	0
289904	0	0
290648	0	0
292746	0	0
299417	0	0
309097	0	0
316811	0	0
322324	0	0
335752	1	0
336589	0	0
337356	0	0
339574	0	0
343043	0	0
347161	0	0
355124	0	0
356255	0	0
371860	10	1
375676	0	0
376101	0	0
378830	4	0
381218	2	0
383787	0	0
388410	3	0
388959	1	0
390254	3	0
395009	0	0
399599	1	0
405673	3	0
408704	1	0
411464	1	1
414310	1	1
416977	2	1
419913	7	0
422721	2	0
426072	3	1
429254	0	1
432007	1	0
434757	4	0
437473	0	0
440375	0	0
443049	0	0
445713	1	0
447651	0	0
448162	0	0
449292	4	0
450327	0	0
455289	2	0
459522	1	1
461123	0	0
463114	2	0
463679	0	0
465061	0	0
489418	10	0
490229	1	0
495358	1	0
506029	3	0
510212	0	0
510972	0	0
513079	0	0
515411	0	0
515782	0	0
517644	8	0
519780	3	0
521291	0	0
549429	20	1
550076	0	0
551376	0	0
566465	11	0
569274	0	0
574796	4	1
583844	3	1
585572	0	0
587466	0	0
588301	0	0
590039	0	0
622282	30	3
623477	0	0
624759	1	0
632750	2	0
636073	4	0
636796	0	0
637548	1	2
638185	1	1
638846	0	0
639963	1	0
642585	3	1
649435	0	0
650694	0	0
662110	0	0
666000	0	0
680703	0	0
681222	0	0
682788	0	0
686606	0	0
690110	0	0
704796	0	0
705360	0	0
706491	0	0
707072	0	0
717763	0	0
720146	0	0
721964	1	0
722978	0	0
724059	0	0
743817	1	0
744487	0	0
745413	0	0
746538	0	0
747468	0	0
748074	0	0
749476	0	0
753766	0	0
756884	0	0
758226	0	0
762008	0	0
762803	0	0
764643	0	0
765940	1	0
766850	0	0
767541	0	0
768100	0	0
768735	0	0
771030	0	0
773972	0	0
779724	0	0
781051	0	0
786053	0	0
788638	0	0
789580	0	0
790690	0	0
801796	0	0
804789	0	0
808862	0	0
811952	0	0
812958	0	0
813824	0	0
814600	0	0
819499	0	0
822444	0	0
823646	0	0
825848	0	0
827151	0	0
828390	0	0
835191	0	0
837890	0	0
838422	0	0
842403	0	0
846588	0	0
847152	0	0
847759	0	0
849166	0	0
850263	0	2
882001	26	2
882795	0	0
883914	0	0
884553	3	0
885391	1	0
887056	2	0
888159	2	0
896415	2	0
916715	20	0
917266	0	0
918812	2	0
919723	0	0
921254	1	3
930165	2	0
935598	2	0
936974	1	0
938464	0	0
939138	0	0
941098	1	0
942537	3	0
949356	3	0
950292	1	0
951421	2	0
952220	1	0
952925	0	0
953500	0	0
957563	3	0
960686	7	0
963706	7	0
966883	3	1
970158	2	0
973124	2	0
973628	0	0
977226	0	0
979086	3	0
983160	4	0
983926	0	0
984508	0	0
985691	1	0
987046	3	1
988327	0	0
989398	0	0
990606	0	0
993749	0	0
994729	0	0
996336	8	0
997597	0	0
999264	0	0
1000849	1	0
1001684	0	0
1003127	0	0
1004157	1	0
1005866	0	0
1006759	1	0
1014825	6	0
1015976	0	4
1016841	1	0
1021782	0	0
1022468	1	0
1028226	2	0
1028968	0	0
1031396	1	0
1034071	1	0
1035578	2	0
1037054	0	0
1038424	6	0
1039261	0	0
1040102	2	0
1041006	3	0
1041596	0	0
1042227	0	0
1043452	2	0
1044756	0	0
1045672	0	0
1048304	1	0
1050719	1	0
1051273	0	0
1051838	0	0
1052368	1	0
1059898	5	0
1060595	3	0
1064860	9	0
1066477	1	0
1071325	3	0
1072315	0	0
1078019	6	0
1079801	1	0
1084222	7	0
1085608	0	0
1090439	7	0
1103935	10	0
1108166	3	1
1108772	0	0
1109507	1	0
1113634	3	0
1126972	14	0
1131327	10	3
