position	numhm	numht	length
23597	0	0	23597
26420	0	0	2823
50944	0	0	24524
230088	1	0	179144
281138	0	1	51050
476638	2	5	195500
504600	1	0	27962
521862	0	3	17262
525196	0	0	3334
600172	3	0	74976
638880	0	5	38708
716489	1	12	77609
717298	0	0	809
756451	2	0	39153
791878	0	0	35427
1184914	6	24	393036
1254217	0	2	69303
1286522	0	0	32305
1424704	0	0	138182
1446800	0	0	22096
1490763	0	2	43963
1502013	0	0	11250
1532136	0	1	30123
1660548	0	9	128412
1661346	0	0	798
1782053	0	22	120707
1795478	0	3	13425
1823425	0	0	27947
1851053	0	0	27628
1877586	0	0	26533
1884629	0	0	7043
1885585	0	0	956
1886099	0	0	514
1887222	0	0	1123
1997138	1	0	109916
2155232	1	1	158094
2171122	0	0	15890
2177615	0	0	6493
2198877	0	0	21262
2261839	0	1	62962
2802923	9	14	541084
2844296	1	0	41373
3057460	4	2	213164
3066908	0	0	9448
3094267	0	0	27359
3291326	2	0	197059
3370224	1	11	78898
