position	numhm	numht
50000	1	1
100000	0	0
150000	0	0
200000	1	1
250000	0	4
300000	1	1
350000	2	0
400000	2	2
450000	4	1
500000	1	8
550000	4	1
600000	0	1
650000	0	0
700000	0	0
750000	0	0
800000	0	0
850000	0	7
900000	0	1
950000	0	19
1000000	0	0
1050000	16	4
1100000	2	5
1150000	1	2
1200000	1	0
1250000	0	2
1300000	0	5
1350000	2	2
1400000	23	12
1450000	7	4
1500000	23	4
1550000	9	7
1600000	1	2
1650000	0	2
1700000	2	1
1750000	0	3
1800000	2	2
1850000	0	0
1900000	1	1
1950000	1	0
2000000	0	0
2050000	0	1
2100000	4	2
2150000	9	4
2200000	9	6
2250000	6	13
2300000	20	3
2350000	7	13
2400000	22	23
2450000	7	3
2500000	4	1
2550000	6	41
2600000	42	27
2650000	1	2
2700000	13	8
2750000	23	12
2800000	25	11
2850000	8	3
2900000	10	4
2950000	5	6
3000000	10	6
3050000	14	6
3100000	12	7
3150000	17	8
3200000	14	25
3250000	25	19
3300000	24	40
3350000	15	13
3400000	2	1
3450000	1	96
3500000	0	0
3550000	0	1
3600000	0	0
3650000	0	0
3700000	1	0
3750000	2	2
3800000	0	6
3850000	0	0
3900000	0	0
3950000	0	1
4000000	0	2
4050000	0	0
4100000	0	0
4150000	0	0
4200000	0	0
4250000	0	0
4300000	0	1
4350000	0	1
4400000	0	0
4450000	0	0
4500000	0	4
4550000	0	0
4600000	0	1
4650000	9	6
4700000	6	1
4750000	2	10
4800000	7	3
4850000	7	3
4900000	16	6
4950000	15	7
5000000	24	3
5050000	1	2
5100000	0	0
5150000	0	0
5200000	0	0
5250000	0	1
5300000	0	0
5350000	0	5
5400000	0	1
5450000	0	0
5500000	0	5
5550000	0	0
5600000	0	2
5650000	0	0
5700000	0	0
5750000	0	0
5800000	0	0
5850000	0	0
5900000	0	0
5950000	0	1
6000000	0	0
6050000	0	0
6100000	0	5
6150000	1	3
6200000	0	0
6250000	0	0
6300000	0	0
6350000	0	3
6400000	0	0
6450000	0	0
6500000	0	1
6550000	0	0
6600000	0	1
6650000	0	1
6700000	0	0
6750000	0	0
6800000	0	0
6850000	0	0
6900000	0	0
6950000	0	5
7000000	0	0
7050000	0	7
7100000	0	0
7150000	0	0
7200000	0	0
7250000	1	1
7300000	0	1
7350000	0	0
7400000	0	0
7450000	0	0
7500000	0	0
7550000	0	0
7600000	0	0
7650000	0	0
7700000	0	1
7750000	0	1
7800000	0	2
7850000	0	0
7900000	0	0
7950000	0	0
8000000	0	0
8050000	0	1
8100000	0	0
8150000	0	0
8200000	0	1
8250000	0	13
8300000	0	0
8350000	0	0
8400000	0	0
8450000	0	0
8500000	0	0
8550000	0	0
8600000	0	0
8650000	0	4
8700000	0	2
8750000	0	0
8800000	0	0
8850000	0	0
8900000	0	0
