fragment	length	numhm	numht
seq_id_1	1157	1	4
seq_id_2	2148	0	0
seq_id_3	2533	0	0
seq_id_4	2682	0	2
seq_id_5	4058	0	2
seq_id_6	3489	0	1
seq_id_7	9620	1	1
seq_id_8	1836	0	0
seq_id_9	8497	0	5
seq_id_10	19340	0	6
seq_id_11	7526	0	1
seq_id_12	1195	0	4
seq_id_13	5376	0	4
seq_id_14	2751	0	2
seq_id_15	3958	0	5
seq_id_16	3857	1	2
seq_id_17	17189	2	12
seq_id_18	3472	0	4
seq_id_19	1272	0	2
seq_id_20	2957	0	1
seq_id_21	7293	0	6
seq_id_22	5671	0	4
seq_id_23	6850	1	2
seq_id_24	1919	0	0
seq_id_25	10626	3	4
seq_id_26	1455	0	1
seq_id_27	2627	1	2
seq_id_28	4220	0	7
seq_id_29	3270	0	0
seq_id_30	1430	0	1
seq_id_31	1868	0	0
seq_id_32	6743	2	4
seq_id_33	8995	0	6
seq_id_34	655	0	0
seq_id_35	1141	1	0
seq_id_36	2227	0	1
seq_id_37	2883	0	0
seq_id_38	7638	0	2
seq_id_39	1662	0	2
seq_id_40	5650	1	7
seq_id_41	38774	10	17
seq_id_42	745	0	0
seq_id_43	15623	2	17
seq_id_44	1103	0	4
seq_id_45	7470	5	5
seq_id_46	7401	0	7
seq_id_47	76272	3	37
seq_id_48	2772	0	1
seq_id_49	11609	3	8
seq_id_50	7204	0	5
seq_id_51	5636	1	1
seq_id_52	3876	0	2
seq_id_53	3376	0	4
seq_id_54	3178	1	8
seq_id_55	1128	0	1
seq_id_56	152685	15	86
seq_id_57	1476	0	0
seq_id_58	3715	0	0
seq_id_59	1563	0	0
seq_id_60	50770	0	0
seq_id_61	7383	0	0
seq_id_62	1398	0	0
seq_id_63	872	0	0
seq_id_64	1577	0	0
seq_id_65	9222	0	0
seq_id_66	9121	0	0
seq_id_67	7594	0	0
seq_id_68	3155	0	0
seq_id_69	1248	0	0
seq_id_70	33036	0	0
seq_id_71	15598	0	0
seq_id_72	20001	0	0
seq_id_73	55462	1	1
seq_id_74	1782	0	0
seq_id_75	2715	0	0
seq_id_76	16091	0	0
seq_id_77	7682	0	0
seq_id_78	745	0	0
seq_id_79	58640	0	0
seq_id_80	41765	0	0
seq_id_81	4560	0	0
seq_id_82	1131	0	0
seq_id_83	718	0	0
seq_id_84	2276	0	0
seq_id_85	107799	0	0
seq_id_86	8950	0	0
seq_id_87	3123	0	0
seq_id_88	4885	0	0
seq_id_89	1301	0	0
seq_id_90	3505	0	0
seq_id_91	56815	0	1
seq_id_92	9320	0	0
seq_id_93	18613	0	0
seq_id_94	31460	1	9
seq_id_95	10155	2	9
seq_id_96	1445	0	0
seq_id_97	1113	1	1
seq_id_98	27118	5	14
seq_id_99	2271	0	3
seq_id_100	5066	0	5
seq_id_101	571	0	0
seq_id_102	1042	0	1
seq_id_103	13462	1	11
seq_id_104	815	0	1
seq_id_105	17526	4	3
seq_id_106	5542	0	5
seq_id_107	2712	0	1
seq_id_108	14102	3	4
seq_id_109	11725	1	10
seq_id_110	2863	0	4
seq_id_111	1931	0	1
seq_id_112	669	0	0
seq_id_113	2108	0	4
seq_id_114	5728	0	6
seq_id_115	36139	1	19
seq_id_116	18599	0	2
seq_id_117	581	0	0
seq_id_118	1816	0	1
seq_id_119	23280	0	5
seq_id_120	1153	0	1
seq_id_121	5218	0	0
seq_id_122	15900	0	2
seq_id_123	3525	0	0
seq_id_124	942	0	0
seq_id_125	7661	0	0
seq_id_126	4249	0	1
seq_id_127	3063	0	0
seq_id_128	3634	0	2
seq_id_129	77300	2	33
seq_id_130	2920	0	0
seq_id_131	2116	0	1
seq_id_132	2166	0	0
seq_id_133	2574	0	0
seq_id_134	1995	0	0
seq_id_135	4052	0	0
seq_id_136	38186	3	21
seq_id_137	3631	2	2
seq_id_138	3471	0	0
seq_id_139	1031	0	0
seq_id_140	6259	2	4
seq_id_141	1432	0	0
seq_id_142	6990	0	0
seq_id_143	1271	0	0
seq_id_144	5897	1	9
seq_id_145	4141	0	1
seq_id_146	955	0	2
seq_id_147	2912	0	1
seq_id_148	2035	1	4
seq_id_149	5492	2	25
seq_id_150	12832	4	13
seq_id_151	12021	2	8
seq_id_152	121670	5	43
seq_id_153	1284	0	1
seq_id_154	2838	1	14
seq_id_155	2809	0	6
seq_id_156	1730	0	2
seq_id_157	15909	2	16
seq_id_158	6072	0	2
seq_id_159	1494	0	2
seq_id_160	2330	0	0
seq_id_161	740	0	0
seq_id_162	11735	0	2
seq_id_163	1728	0	0
seq_id_164	1754	0	1
seq_id_165	7095	0	0
seq_id_166	5414	0	0
seq_id_167	9110	0	1
seq_id_168	1053	0	0
seq_id_169	802	0	0
seq_id_170	3074	0	0
seq_id_171	1297	0	0
seq_id_172	12786	0	4
seq_id_173	14423	0	3
seq_id_174	661	0	0
seq_id_175	18450	1	11
seq_id_176	4697	0	1
seq_id_177	8998	2	2
seq_id_178	1158	0	0
seq_id_179	6113	0	4
seq_id_180	17302	0	9
seq_id_181	559	0	0
seq_id_182	1667	0	0
seq_id_183	19121	0	3
seq_id_184	1467	0	0
seq_id_185	519	0	1
seq_id_186	2173	0	0
seq_id_187	1354	0	0
seq_id_188	677	0	2
seq_id_189	35324	0	7
seq_id_190	2635	0	1
seq_id_191	2710	0	3
seq_id_192	1638	0	0
seq_id_193	964	0	2
seq_id_194	3905	0	6
seq_id_195	5143	0	5
seq_id_196	5007	0	1
seq_id_197	859	0	0
seq_id_198	965	0	0
seq_id_199	3619	0	1
seq_id_200	1836	0	0
seq_id_201	1530	0	0
seq_id_202	1482	0	0
seq_id_203	1324	0	1
seq_id_204	6579	1	1
seq_id_205	3173	0	0
seq_id_206	9163	0	5
seq_id_207	9592	0	3
seq_id_208	17453	0	15
seq_id_209	3727	0	4
seq_id_210	13151	1	3
seq_id_211	21293	0	9
seq_id_212	2359	0	1
seq_id_213	1432	0	0
seq_id_214	12717	1	1
seq_id_215	658	0	1
seq_id_216	6185	0	1
seq_id_217	5173	1	1
seq_id_218	7180	0	3
seq_id_219	1708	0	1
seq_id_220	10432	0	0
seq_id_221	55121	0	1
seq_id_222	1152	0	0
seq_id_223	4386	0	0
seq_id_224	13271	0	0
seq_id_225	1796	0	0
seq_id_226	3466	0	0
seq_id_227	2117	0	0
seq_id_228	1171	0	0
seq_id_229	8285	0	0
seq_id_230	2340	0	0
seq_id_231	23075	0	0
seq_id_232	16050	0	0
seq_id_233	2002	0	0
seq_id_234	8918	0	0
seq_id_235	5886	0	0
seq_id_236	5676	0	0
seq_id_237	2752	0	0
seq_id_238	535	0	0
seq_id_239	3999	0	0
seq_id_240	7244	0	0
seq_id_241	3009	0	0
seq_id_242	2234	0	0
seq_id_243	4753	0	0
seq_id_244	3905	0	0
seq_id_245	1457	0	0
seq_id_246	6802	1	0
seq_id_247	5441	0	1
seq_id_248	5032	0	1
seq_id_249	1090	0	0
seq_id_250	7864	0	4
seq_id_251	1474	0	1
seq_id_252	16240	9	39
seq_id_253	8758	3	12
seq_id_254	3261	0	2
seq_id_255	9732	0	8
seq_id_256	3446	0	1
seq_id_257	632	0	0
seq_id_258	3615	0	3
seq_id_259	3002	0	1
seq_id_260	42841	5	25
seq_id_261	3155	0	2
seq_id_262	1228	0	3
seq_id_263	3576	0	6
seq_id_264	4126	0	1
seq_id_265	814	0	1
seq_id_266	2590	0	10
seq_id_267	708	0	0
seq_id_268	2983	0	0
seq_id_269	6028	0	4
seq_id_270	49515	1	14
seq_id_271	6103	0	2
seq_id_272	855	0	0
seq_id_273	14247	0	0
seq_id_274	3805	0	0
seq_id_275	70073	1	14
seq_id_276	2149	0	1
seq_id_277	3900	1	1
seq_id_278	11105	1	8
seq_id_279	4989	0	1
seq_id_280	662	0	0
seq_id_281	778	0	0
seq_id_282	1658	0	0
seq_id_283	1440	0	0
seq_id_284	31646	2	9
seq_id_285	5400	0	4
seq_id_286	744	0	0
seq_id_287	13854	0	3
seq_id_288	1048	0	0
seq_id_289	1084	0	1
seq_id_290	4176	0	2
seq_id_291	934	0	0
seq_id_292	6195	0	0
seq_id_293	6681	0	2
seq_id_294	11679	1	3
seq_id_295	1320	0	0
seq_id_296	773	0	0
seq_id_297	1974	0	0
seq_id_298	541	3	5
seq_id_299	1148	0	2
seq_id_300	5897	0	2
seq_id_301	896	0	0
seq_id_302	13435	0	22
seq_id_303	7708	0	0
seq_id_304	2954	0	0
seq_id_305	973	0	0
seq_id_306	2507	0	0
seq_id_307	1102	0	0
seq_id_308	2471	0	0
seq_id_309	9400	0	2
seq_id_310	5069	0	3
seq_id_311	7677	0	4
seq_id_312	1297	2	0
seq_id_313	18473	0	22
seq_id_314	2594	0	0
seq_id_315	1683	0	1
seq_id_316	3990	0	0
seq_id_317	25910	1	4
seq_id_318	72008	4	30
seq_id_319	1786	0	0
seq_id_320	10852	0	2
seq_id_321	5962	0	0
seq_id_322	842	0	0
seq_id_323	21233	0	3
seq_id_324	14053	0	2
seq_id_325	938	0	0
seq_id_326	3891	0	0
seq_id_327	2407	0	0
seq_id_328	725	0	0
seq_id_329	2221	0	1
seq_id_330	1380	0	0
seq_id_331	5102	0	1
