Chr	assembly	length	numhm	numht
frag1	0	141673	2	6
frag2	141673	149843	0	0
frag3	291516	103544	0	0
frag4	395060	123051	0	0
frag5	518111	152121	0	0
frag6	670232	195599	0	0
frag7	865831	164987	0	1
frag8	1030818	122735	0	0
frag9	1153553	139430	1	0
frag10	1292983	157851	1	0
frag11	1450834	185590	0	0
frag12	1636424	192084	1	0
frag13	1828508	193547	0	0
frag14	2022055	176345	0	0
frag15	2198400	141241	0	0
frag16	2339641	106661	0	0
frag17	2446302	182347	0	0
frag18	2628649	101690	0	1
frag19	2730339	149245	0	1
frag20	2879584	148636	0	0
frag21	3028220	148913	1	0
frag22	3177133	151100	0	0
frag23	3328233	147136	0	0
frag24	3475369	104311	0	0
frag25	3579680	126972	0	0
frag26	3706652	104956	1	0
frag27	3811608	183487	0	0
frag28	3995095	116562	0	0
frag29	4111657	125610	0	0
frag30	4237267	156440	0	0
frag31	4393707	192543	0	1
frag32	4586250	131302	0	0
frag33	4717552	169726	0	0
frag34	4887278	136824	1	0
frag35	5024102	186297	0	0
frag36	5210399	172943	0	5
frag37	5383342	146828	1	0
frag38	5530170	117818	0	1
frag39	5647988	173951	1	0
frag40	5821939	126229	0	0
frag41	5948168	156701	1	0
frag42	6104869	185054	0	0
frag43	6289923	164648	0	0
frag44	6454571	191057	0	1
frag45	6645628	196555	0	0
frag46	6842183	122597	1	3
frag47	6964780	119501	1	0
frag48	7084281	149992	0	2
frag49	7234273	132140	0	1
frag50	7366413	199868	0	0
frag51	7566281	178513	0	0
frag52	7744794	108387	0	0
frag53	7853181	154774	0	0
frag54	8007955	103950	0	0
frag55	8111905	118819	0	1
frag56	8230724	114756	0	0
frag57	8345480	160769	0	0
frag58	8506249	199062	0	2
frag59	8705311	189601	0	1
frag60	8894912	128797	0	3
frag61	9023709	106191	0	0
frag62	9129900	134198	0	0
frag63	9264098	125245	0	1
frag64	9389343	138313	1	1
frag65	9527656	187420	0	1
frag66	9715076	132075	0	1
frag67	9847151	125216	0	0
frag68	9972367	190389	0	1
frag69	10162756	121492	1	0
frag70	10284248	196744	0	2
frag71	10480992	140766	0	1
frag72	10621758	164285	0	0
frag73	10786043	144519	0	3
frag74	10930562	119256	0	0
frag75	11049818	184203	0	0
frag76	11234021	152570	0	0
frag77	11386591	104285	0	4
frag78	11490876	105923	0	0
frag79	11596799	107482	0	2
frag80	11704281	152813	0	0
frag81	11857094	167162	0	1
frag82	12024256	120072	0	2
frag83	12144328	197889	0	39
frag84	12342217	159457	0	4
frag85	12501674	190811	0	8
frag86	12692485	135146	0	1
frag87	12827631	102334	0	6
frag88	12929965	148350	0	0
frag89	13078315	192411	0	20
frag90	13270726	164894	0	7
frag91	13435620	140529	0	21
frag92	13576149	168985	0	200
frag93	13745134	195313	0	0
frag94	13940447	147038	0	0
frag95	14087485	195524	0	0
frag96	14283009	158089	0	0
frag97	14441098	100529	0	0
frag98	14541627	170241	0	0
frag99	14711868	136003	0	2
frag100	14847871	111059	0	1
frag101	14958930	153718	0	7
frag102	15112648	186213	0	70
frag103	15298861	168963	0	48
frag104	15467824	124001	0	0
frag105	15591825	122943	0	11
frag106	15714768	163989	0	17
frag107	15878757	190016	0	1
frag108	16068773	152529	0	1
frag109	16221302	113057	0	0
frag110	16334359	104881	0	0
frag111	16439240	176127	0	0
frag112	16615367	173326	0	2
frag113	16788693	159387	0	0
frag114	16948080	179941	0	1
frag115	17128021	137621	0	0
frag116	17265642	185018	0	0
frag117	17450660	138590	0	1
frag118	17589250	109283	0	0
frag119	17698533	122469	0	0
frag120	17821002	146387	0	0
frag121	17967389	192818	0	0
frag122	18160207	129701	0	0
frag123	18289908	178905	0	1
frag124	18468813	190311	0	0
frag125	18659124	118789	0	1
frag126	18777913	160440	0	0
frag127	18938353	174901	0	1
frag128	19113254	169592	0	0
frag129	19282846	179892	0	0
frag130	19462738	155229	0	0
frag131	19617967	125162	0	0
frag132	19743129	181427	0	0
frag133	19924556	161809	0	0
frag134	20086365	172196	0	0
frag135	20258561	163798	0	1
frag136	20422359	130617	0	1
frag137	20552976	122801	0	0
frag138	20675777	135001	0	1
frag139	20810778	136064	0	1
frag140	20946842	155619	0	1
frag141	21102461	108213	0	0
frag142	21210674	111116	0	0
frag143	21321790	119978	0	0
frag144	21441768	193905	0	0
frag145	21635673	190737	0	0
frag146	21826410	133889	0	0
frag147	21960299	152005	0	2
frag148	22112304	118885	0	0
frag149	22231189	179652	0	1
frag150	22410841	133498	0	1
frag151	22544339	188557	0	2
frag152	22732896	165315	0	0
frag153	22898211	158842	0	0
frag154	23057053	155916	0	1
frag155	23212969	185897	0	1
frag156	23398866	60964	0	0
