fragment_id	length
seq_id_2674	4453
seq_id_8509	2995
seq_id_11841	4667
seq_id_1666	10891
seq_id_4030	253824
seq_id_8729	1461
seq_id_10600	36462
seq_id_4359	1371
seq_id_2722	1258
seq_id_7733	1455
seq_id_7795	1939
seq_id_335	28628
seq_id_3860	2706
seq_id_3743	5450
seq_id_2191	31258
seq_id_1914	782
seq_id_11157	2487
seq_id_10032	1190
seq_id_2774	13446
seq_id_5519	934
seq_id_11796	1143
seq_id_10656	139418
seq_id_10063	3752
seq_id_3538	1824
seq_id_8492	1825
seq_id_11159	16935
seq_id_6422	10763
seq_id_237	1488
seq_id_9870	2761
seq_id_9309	4247
seq_id_5153	1767
seq_id_3703	5270
seq_id_2706	38523
seq_id_6474	2390
seq_id_11601	1072
seq_id_611	44492
seq_id_1742	11232
seq_id_7784	4245
seq_id_1238	3103
seq_id_8148	46577
seq_id_960	2914
seq_id_7114	509
seq_id_2903	1202
seq_id_5588	3116
seq_id_1679	4633
seq_id_8295	22560
seq_id_4970	8448
seq_id_2336	992
seq_id_6396	36113
seq_id_7276	638
seq_id_9790	505
seq_id_3344	19721
seq_id_847	2301
seq_id_3523	2021
seq_id_251	89158
seq_id_1082	2356
seq_id_7944	11654
seq_id_4159	8543
seq_id_660	7092
seq_id_9534	1712
seq_id_3910	4168
seq_id_7101	3422
seq_id_11930	32425
seq_id_3293	1940
seq_id_8143	1105
seq_id_8480	1096
seq_id_8841	1230
seq_id_10486	5095
seq_id_4060	707
seq_id_10857	2463
seq_id_10812	11155
seq_id_3677	13657
seq_id_4537	11438
seq_id_1131	15600
seq_id_5509	1183
seq_id_11702	2598
seq_id_680	2642
seq_id_9905	1326
seq_id_351	769
seq_id_512	3555
seq_id_4028	29550
seq_id_9535	4124
seq_id_462	845
seq_id_4700	14694
seq_id_5820	1246
seq_id_4846	1543
seq_id_7483	2246
seq_id_2266	17577
seq_id_4205	4082
seq_id_10306	23885
seq_id_10343	2594
seq_id_1976	3689
seq_id_5857	1375
seq_id_10945	53870
seq_id_8428	1594
