position	numhm	numht
100000	4	13
200000	4	13
300000	0	13
400000	0	12
500000	0	2
600000	2	21
700000	4	15
800000	0	11
900000	3	3
1000000	2	8
1100000	1	10
1200000	1	17
1300000	1	13
1400000	2	13
1500000	3	38
1600000	1	25
1700000	1	30
1800000	0	11
1900000	1	25
2000000	5	24
2100000	3	19
2200000	5	38
2300000	2	19
2400000	3	21
2500000	8	9
2600000	4	12
2700000	3	17
2800000	2	15
2900000	4	15
3000000	8	47
3100000	6	67
3200000	5	30
3300000	2	22
3400000	3	14
3500000	9	14
3600000	5	21
3700000	4	13
3800000	4	29
3900000	5	44
4000000	2	11
4100000	5	27
4200000	1	20
4300000	6	18
4400000	8	12
4500000	6	12
4600000	4	15
4700000	3	5
4800000	1	4
4900000	2	20
5000000	3	46
5100000	2	20
5200000	6	45
5300000	3	27
5400000	3	26
5500000	0	29
5600000	1	24
5700000	3	37
5800000	2	16
5900000	13	66
6000000	1	15
6100000	3	18
6200000	12	38
6300000	3	16
6400000	3	32
6500000	2	23
6600000	6	34
6700000	8	115
6800000	4	31
6900000	5	27
7000000	13	48
7100000	4	55
7200000	8	35
7300000	2	17
7400000	6	28
7500000	6	33
7600000	8	25
7700000	6	33
7800000	6	34
7900000	2	42
8000000	4	32
8100000	0	4
8200000	5	22
8300000	1	7
8400000	2	8
8500000	6	16
8600000	5	33
8700000	20	60
8800000	1	24
8900000	2	21
9000000	5	27
9100000	5	19
9200000	5	22
9300000	3	17
9400000	2	9
9500000	4	37
9600000	4	20
9700000	6	18
9800000	1	22
9900000	3	18
10000000	8	25
10100000	6	46
10200000	10	40
10300000	9	59
10400000	15	53
10500000	15	67
10600000	10	55
10700000	5	19
10800000	2	14
10900000	2	9
11000000	7	24
11100000	6	36
11200000	8	44
11300000	38	70
11400000	34	98
11500000	5	64
11600000	8	55
11700000	8	38
11800000	2	32
11900000	4	17
12000000	6	55
12100000	12	103
12200000	11	71
12300000	5	73
12400000	6	109
12500000	5	144
12600000	30	141
12700000	2	59
12800000	7	133
12900000	7	95
13000000	2	50
13100000	3	143
13200000	149	93
13300000	6	404
13400000	6	98
13500000	5	75
13600000	9	68
13700000	6	86
13800000	7	85
13900000	9	115
14000000	31	197
14100000	1	67
14200000	5	37
14300000	5	42
14400000	3	74
14500000	3	16
14600000	1	29
14700000	2	25
14800000	2	47
14900000	10	53
15000000	3	26
15100000	4	10
15200000	2	19
15300000	1	12
15400000	0	18
15500000	2	28
15600000	2	9
15700000	1	20
15800000	2	14
15900000	2	17
16000000	2	27
16100000	0	16
16200000	2	10
16300000	8	97
16400000	3	15
16500000	2	15
16600000	1	37
16700000	2	8
16800000	2	11
16900000	3	20
17000000	0	11
17100000	5	19
17200000	0	3
17300000	1	11
17400000	3	6
17500000	3	19
17600000	1	17
17700000	4	3
17800000	2	10
17900000	5	26
18000000	4	17
18100000	1	19
18200000	0	7
18300000	2	10
18400000	0	11
18500000	0	9
18600000	5	17
18700000	1	8
18800000	3	17
18900000	1	14
19000000	1	13
19100000	4	12
19200000	2	24
19300000	3	30
19400000	3	13
19500000	0	8
19600000	1	12
19700000	4	21
19800000	0	17
19900000	0	2
20000000	1	27
20100000	2	17
20200000	1	8
20300000	3	11
20400000	0	9
20500000	3	9
20600000	3	7
20700000	3	9
20800000	1	6
20900000	2	15
21000000	2	7
21100000	0	7
21200000	1	7
21300000	1	5
21400000	0	7
21500000	2	17
21600000	1	7
21700000	2	2
21800000	0	8
21900000	3	7
22000000	2	3
22100000	0	5
22200000	1	5
22300000	1	5
22400000	0	3
22500000	1	7
22600000	1	3
22700000	4	6
22800000	1	3
22900000	1	17
23000000	0	3
23100000	0	3
23200000	4	4
23300000	1	3
23400000	3	8
23500000	0	11
23600000	7	4
23700000	0	9
23800000	0	5
23900000	1	3
24000000	0	4
24100000	1	3
24200000	1	9
24300000	2	14
24400000	0	11
24500000	0	9
24600000	0	6
24700000	1	9
24800000	3	5
24900000	0	4
25000000	0	5
25100000	0	3
25200000	0	6
25300000	0	5
25400000	2	6
25500000	2	8
